Player ,Age,G - 2023,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G - 2022,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jennie Simms,29,6,0,11.7,0.7,2.3,0.286,0,0.8,0,0.7,1.5,0.444,0.8,1.2,0.714,0.7,1.5,2.2,0.5,0.3,0,1,1.2,2.2,23,4,13.2,1.3,2.7,0.476,0.2,0.8,0.211,1.1,1.9,0.591,0.7,0.8,0.789,0.6,1.7,2.2,0.9,0.5,0,1,1.7,3.4
Sam Thomas,24,1,0,11,0,2,0,0,0,,0,2,0,0,0,,0,1,1,0,0,0,0,1,0,24,0,4.9,0.2,0.8,0.211,0,0.6,0.067,0.1,0.2,0.75,0,0,1,0.1,0.1,0.2,0.3,0.3,0.1,0.2,0.5,0.4
Madi Williams,23,5,0,9.2,1,3,0.333,0,0.6,0,1,2.4,0.417,0,0,,0.4,0.6,1,0.2,0.4,0.2,1.2,1.2,2,,,,,,,,,,,,,,,,,,,,,,,,
Kadi Sissoko,24,40,0,8.4,0.6,1.6,0.371,0.1,0.5,0.167,0.5,1.1,0.455,0.3,0.4,0.625,0.4,1.1,1.6,0.2,0.1,0.1,0.7,1.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,
Evina Westbrook,24,9,0,8,0.2,2.2,0.1,0,1.2,0,0.2,1,0.222,0.7,0.7,1,0.1,0.9,1,0.4,0.1,0.1,0.4,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Destanni Henderson,24,5,0,6.2,0.4,2,0.2,0.2,1,0.2,0.2,1,0.2,0.4,0.4,1,0.2,0.6,0.8,0.4,0,0,0.2,0.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,
Liz Dixon,22,10,0,5.6,0.8,1.4,0.571,0,0,,0.8,1.4,0.571,0.7,0.8,0.875,0.8,0.5,1.3,0.1,0,0.2,0.2,0.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,
Alaina Coates,28,2,0,2.5,0.5,0.5,1,0,0,,0.5,0.5,1,0,0,,0,0,0,0,0.5,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,
Skylar Diggins-Smith,31,,,,,,,,,,,,,,,,,,,,,,,,,30,30,34,6.9,16.2,0.429,1.3,4.5,0.296,5.6,11.7,0.48,4.5,5.3,0.844,0.9,3.1,4,5.5,1.6,1,2.7,2.7,19.7
Tina Charles,33,,,,,,,,,,,,,,,,,,,,,,,,,16,16,33.1,6.5,14.8,0.441,1.5,4.1,0.364,5,10.6,0.471,2.8,3.4,0.8,0.9,6.3,7.3,2.1,0.8,0.8,2.4,2.7,17.3
Diamond DeShields,27,,,,,,,,,,,,,,,,,,,,,,,,,30,19,25.3,4.7,12.2,0.388,0.7,3,0.236,4,9.2,0.437,2.9,3.8,0.765,0.6,3.2,3.8,2.2,1,0.5,2.3,3.3,13.1
Yvonne Turner,34,,,,,,,,,,,,,,,,,,,,,,,,,3,0,11.7,1.3,3.3,0.4,0,0,,1.3,3.3,0.4,0.7,0.7,1,0,0.7,0.7,2.3,0,0,0,0.7,3.3
Karlie Samuelson,27,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,1,3,0.333,1,3,0.333,0,0,,0,0,,0,3,3,1,0,0,1,1,3
Reshanda Gray,29,,,,,,,,,,,,,,,,,,,,,,,,,16,0,9.5,0.9,2.3,0.405,0.1,0.7,0.091,0.9,1.6,0.538,0.1,0.2,0.333,0.3,1.5,1.8,0.6,0.3,0.3,1.1,2.3,2
Kristine Anigwe,25,,,,,,,,,,,,,,,,,,,,,,,,,10,1,6.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,1,0.5,0.5,0.8,1.3,0.2,0.1,0.2,0.6,1.2,1.5
Emma Cannon,33,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,1,1,1,0,0,,1,1,1,1,2,0.5,0,2,2,1,0,0,0,0,3
Kaela Davis,27,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5.4,1.8,2.6,0.692,0.4,0.6,0.667,1.4,2,0.7,0.6,0.8,0.75,0.4,0.8,1.2,0,0,0,0.6,0.4,4.6
