"","Date","Visitor/Neutral","PTS","Home/Neutral","PTS",""
"720",2022-07-12,"Dallas Wings","74","Seattle Storm","83","Box Score"
"721",2022-07-13,"Connecticut Sun","89","Indiana Fever","81","Box Score"
"722",2022-07-14,"Chicago Sky","80","Los Angeles Sparks","68","Box Score"
"723",2022-07-14,"Dallas Wings","92","Minnesota Lynx","87","Box Score"
"724",2022-07-14,"Las Vegas Aces","108","New York Liberty","74","Box Score"
"725",2022-07-14,"Washington Mystics","75","Phoenix Mercury","80","Box Score"
"726",2022-07-15,"Connecticut Sun","93","Atlanta Dream","68","Box Score"
"727",2022-07-15,"Minnesota Lynx","87","Indiana Fever","77","Box Score"
"728",2022-07-16,"Chicago Sky","89","Dallas Wings","81","Box Score"
"729",2022-07-17,"Las Vegas Aces","91","Connecticut Sun","83","Box Score"
"730",2022-07-17,"Atlanta Dream","85","Phoenix Mercury","75","Box Score"
"731",2022-07-17,"Indiana Fever","65","Seattle Storm","81","Box Score"
"732",2022-07-17,"Minnesota Lynx","57","Washington Mystics","70","Box Score"
"733",2022-07-19,"New York Liberty","63","Connecticut Sun","82","Box Score"
"734",2022-07-19,"Indiana Fever","79","Los Angeles Sparks","86","Box Score"
"735",2022-07-19,"Atlanta Dream","92","Las Vegas Aces","76","Box Score"
"736",2022-07-20,"Seattle Storm","74","Chicago Sky","78","Box Score"
"737",2022-07-21,"Atlanta Dream","78","Los Angeles Sparks","85","Box Score"
"738",2022-07-21,"Indiana Fever","77","Las Vegas Aces","90","Box Score"
"739",2022-07-21,"New York Liberty","69","Washington Mystics","78","Box Score"
"740",2022-07-22,"Dallas Wings","83","Chicago Sky","89","Box Score"
"741",2022-07-22,"Connecticut Sun","94","Minnesota Lynx","84","Box Score"
"742",2022-07-22,"Seattle Storm","78","Phoenix Mercury","94","Box Score"
"743",2022-07-23,"Los Angeles Sparks","66","Las Vegas Aces","84","Box Score"
"744",2022-07-23,"Chicago Sky","80","New York Liberty","83","Box Score"
"745",2022-07-24,"Dallas Wings","96","Indiana Fever","86","Box Score"
"746",2022-07-24,"Connecticut Sun","86","Minnesota Lynx","79","Box Score"
"747",2022-07-24,"Atlanta Dream","72","Seattle Storm","82","Box Score"
"748",2022-07-28,"Minnesota Lynx","92","Atlanta Dream","85","Box Score"
"749",2022-07-28,"Seattle Storm","83","Connecticut Sun","88","Box Score"
"750",2022-07-28,"Washington Mystics","87","Dallas Wings","77","Box Score"
"751",2022-07-28,"Los Angeles Sparks","80","Phoenix Mercury","90","Box Score"
"752",2022-07-29,"New York Liberty","81","Chicago Sky","89","Box Score"
"753",2022-07-29,"Las Vegas Aces","93","Indiana Fever","72","Box Score"
"754",2022-07-30,"Dallas Wings","81","Atlanta Dream","68","Box Score"
"755",2022-07-30,"Seattle Storm","82","Washington Mystics","77","Box Score"
"756",2022-07-31,"Chicago Sky","95","Connecticut Sun","92","Box Score"
"757",2022-07-31,"Las Vegas Aces","94","Indiana Fever","69","Box Score"
"758",2022-07-31,"Minnesota Lynx","84","Los Angeles Sparks","77","Box Score"
"759",2022-07-31,"Phoenix Mercury","69","New York Liberty","89","Box Score"
"760",2022-07-31,"Seattle Storm","75","Washington Mystics","78","Box Score"
"761",2022-08-02,"Dallas Wings","84","Chicago Sky","78","Box Score"
"762",2022-08-02,"Phoenix Mercury","63","Connecticut Sun","87","Box Score"
"763",2022-08-02,"Los Angeles Sparks","73","New York Liberty","102","Box Score"
"764",2022-08-02,"Las Vegas Aces","73","Washington Mystics","83","Box Score"
"765",2022-08-03,"Indiana Fever","81","Atlanta Dream","91","Box Score"
"766",2022-08-03,"Los Angeles Sparks","61","New York Liberty","64","Box Score"
"767",2022-08-03,"Minnesota Lynx","77","Seattle Storm","89","Box Score"
"768",2022-08-04,"Phoenix Mercury","64","Connecticut Sun","77","Box Score"
"769",2022-08-04,"Las Vegas Aces","80","Dallas Wings","82","Box Score"
"770",2022-08-05,"Los Angeles Sparks","86","Atlanta Dream","88","Box Score"
"771",2022-08-05,"Washington Mystics","83","Chicago Sky","93","Box Score"
"772",2022-08-06,"Indiana Fever","91","Dallas Wings","95","Box Score"
"773",2022-08-06,"New York Liberty","62","Phoenix Mercury","76","Box Score"
"774",2022-08-07,"Connecticut Sun","91","Chicago Sky","94","Box Score"
"775",2022-08-07,"Atlanta Dream","71","Minnesota Lynx","81","Box Score"
"776",2022-08-07,"Las Vegas Aces","89","Seattle Storm","81","Box Score"
"777",2022-08-07,"Los Angeles Sparks","79","Washington Mystics","76","Box Score"
"778",2022-08-08,"New York Liberty","77","Dallas Wings","86","Box Score"
"779",2022-08-09,"Seattle Storm","111","Chicago Sky","100","Box Score"
"780",2022-08-09,"Connecticut Sun","97","Los Angeles Sparks","71","Box Score"
"781",2022-08-09,"Atlanta Dream","90","Las Vegas Aces","97","Box Score"
"782",2022-08-10,"New York Liberty","91","Dallas Wings","73","Box Score"
"783",2022-08-10,"Minnesota Lynx","86","Phoenix Mercury","77","Box Score"
"784",2022-08-11,"Connecticut Sun","93","Los Angeles Sparks","69","Box Score"
"785",2022-08-11,"Chicago Sky","78","Las Vegas Aces","89","Box Score"
"786",2022-08-12,"New York Liberty","80","Atlanta Dream","70","Box Score"
"787",2022-08-12,"Washington Mystics","82","Indiana Fever","70","Box Score"
"788",2022-08-12,"Seattle Storm","96","Minnesota Lynx","69","Box Score"
"789",2022-08-12,"Dallas Wings","74","Phoenix Mercury","86","Box Score"
"790",2022-08-14,"Minnesota Lynx","83","Connecticut Sun","90","Box Score"
"791",2022-08-14,"Dallas Wings","116","Los Angeles Sparks","88","Box Score"
"792",2022-08-14,"Seattle Storm","100","Las Vegas Aces","109","Box Score"
"793",2022-08-14,"Atlanta Dream","83","New York Liberty","87","Box Score"
"794",2022-08-14,"Chicago Sky","82","Phoenix Mercury","67","Box Score"
"795",2022-08-14,"Indiana Fever","83","Washington Mystics","95","Box Score"
"796",NA,"Playoffs","Playoffs","Playoffs","Playoffs","Playoffs"
"797",2022-08-17,"New York Liberty","98","Chicago Sky","91","Box Score"
"798",2022-08-17,"Phoenix Mercury","63","Las Vegas Aces","79","Box Score"
"799",2022-08-18,"Dallas Wings","68","Connecticut Sun","93","Box Score"
"800",2022-08-18,"Washington Mystics","83","Seattle Storm","86","Box Score"
"801",2022-08-20,"New York Liberty","62","Chicago Sky","100","Box Score"
"802",2022-08-20,"Phoenix Mercury","80","Las Vegas Aces","117","Box Score"
"803",2022-08-21,"Dallas Wings","89","Connecticut Sun","79","Box Score"
"804",2022-08-21,"Washington Mystics","84","Seattle Storm","97","Box Score"
"805",2022-08-23,"Chicago Sky","90","New York Liberty","72","Box Score"
"806",2022-08-24,"Connecticut Sun","73","Dallas Wings","58","Box Score"
"807",2022-08-28,"Connecticut Sun","68","Chicago Sky","63","Box Score"
"808",2022-08-28,"Seattle Storm","76","Las Vegas Aces","73","Box Score"
"809",2022-08-31,"Connecticut Sun","77","Chicago Sky","85","Box Score"
"810",2022-08-31,"Seattle Storm","73","Las Vegas Aces","78","Box Score"
"811",2022-09-04,"Chicago Sky","76","Connecticut Sun","72","Box Score"
"812",2022-09-04,"Las Vegas Aces","110","Seattle Storm","98","Box Score"
"813",2022-09-06,"Chicago Sky","80","Connecticut Sun","104","Box Score"
"814",2022-09-06,"Las Vegas Aces","97","Seattle Storm","92","Box Score"
"815",2022-09-08,"Connecticut Sun","72","Chicago Sky","63","Box Score"
"816",2022-09-11,"Connecticut Sun","64","Las Vegas Aces","67","Box Score"
"817",2022-09-13,"Connecticut Sun","71","Las Vegas Aces","85","Box Score"
"818",2022-09-15,"Las Vegas Aces","76","Connecticut Sun","105","Box Score"
"819",2022-09-18,"Las Vegas Aces","78","Connecticut Sun","71","Box Score"
"820",2023-05-19,"Connecticut Sun","70","Indiana Fever","61","Box Score"
"821",2023-05-19,"Phoenix Mercury","71","Los Angeles Sparks","94","Box Score"
"822",2023-05-19,"Chicago Sky","77","Minnesota Lynx","66","Box Score"
"823",2023-05-19,"New York Liberty","64","Washington Mystics","80","Box Score"
"824",2023-05-20,"Atlanta Dream","78","Dallas Wings","85","Box Score"
"825",2023-05-20,"Las Vegas Aces","105","Seattle Storm","64","Box Score"
"826",2023-05-21,"Washington Mystics","74","Connecticut Sun","80","Box Score"
"827",2023-05-21,"Indiana Fever","73","New York Liberty","90","Box Score"
"828",2023-05-21,"Chicago Sky","75","Phoenix Mercury","69","Box Score"
"829",2023-05-23,"Atlanta Dream","83","Minnesota Lynx","77","Box Score"
"830",2023-05-23,"Connecticut Sun","88","Washington Mystics","81","Box Score"
"831",2023-05-25,"Las Vegas Aces","94","Los Angeles Sparks","85","Box Score"
"832",2023-05-25,"Minnesota Lynx","81","Phoenix Mercury","90","Box Score"
"833",2023-05-26,"Washington Mystics","71","Chicago Sky","69","Box Score"
"834",2023-05-26,"Dallas Wings","95","Seattle Storm","91","Box Score"
"835",2023-05-27,"Los Angeles Sparks","65","Las Vegas Aces","93","Box Score"
"836",2023-05-27,"Connecticut Sun","65","New York Liberty","81","Box Score"
"837",2023-05-28,"Indiana Fever","90","Atlanta Dream","87","Box Score"
"838",2023-05-28,"Dallas Wings","88","Chicago Sky","94","Box Score"
"839",2023-05-28,"Minnesota Lynx","73","Las Vegas Aces","94","Box Score"
"840",2023-05-30,"Chicago Sky","65","Atlanta Dream","83","Box Score"
"841",2023-05-30,"Indiana Fever","78","Connecticut Sun","81","Box Score"
"842",2023-05-30,"Minnesota Lynx","89","Dallas Wings","94","Box Score"
"843",2023-05-30,"New York Liberty","86","Seattle Storm","78","Box Score"
"844",2023-06-01,"Connecticut Sun","89","Minnesota Lynx","84","Box Score"
"845",2023-06-02,"Las Vegas Aces","92","Atlanta Dream","87","Box Score"
"846",2023-06-02,"New York Liberty","77","Chicago Sky","76","Box Score"
"847",2023-06-02,"Los Angeles Sparks","99","Phoenix Mercury","93","Box Score"
"848",2023-06-02,"Dallas Wings","74","Washington Mystics","75","Box Score"
"849",2023-06-03,"Seattle Storm","85","Los Angeles Sparks","92","Box Score"
"850",2023-06-03,"Minnesota Lynx","80","Washington Mystics","78","Box Score"
"851",2023-06-04,"Dallas Wings","74","Connecticut Sun","80","Box Score"
"852",2023-06-04,"Las Vegas Aces","84","Indiana Fever","80","Box Score"
"853",2023-06-04,"Chicago Sky","86","New York Liberty","82","Box Score"
"854",2023-06-06,"Indiana Fever","103","Chicago Sky","108","Box Score"
"855",2023-06-06,"Las Vegas Aces","90","Connecticut Sun","84","Box Score"
"856",2023-06-06,"Los Angeles Sparks","63","Seattle Storm","66","Box Score"
"857",2023-06-07,"Phoenix Mercury","79","Dallas Wings","84","Box Score"
"858",2023-06-08,"Las Vegas Aces","77","Connecticut Sun","94","Box Score"
"859",2023-06-09,"New York Liberty","106","Atlanta Dream","83","Box Score"
"860",2023-06-09,"Phoenix Mercury","77","Dallas Wings","90","Box Score"
"861",2023-06-09,"Chicago Sky","62","Los Angeles Sparks","77","Box Score"
"862",2023-06-09,"Indiana Fever","71","Minnesota Lynx","69","Box Score"
"863",2023-06-09,"Washington Mystics","73","Seattle Storm","66","Box Score"
"864",2023-06-11,"Connecticut Sun","89","Atlanta Dream","77","Box Score"
"865",2023-06-11,"Phoenix Mercury","85","Indiana Fever","82","Box Score"
"866",2023-06-11,"Chicago Sky","80","Las Vegas Aces","93","Box Score"
"867",2023-06-11,"Los Angeles Sparks","86","Minnesota Lynx","91","Box Score"
"868",2023-06-11,"Dallas Wings","93","New York Liberty","102","Box Score"
"869",2023-06-11,"Washington Mystics","71","Seattle Storm","65","Box Score"
"870",2023-06-13,"Washington Mystics","66","Indiana Fever","87","Box Score"
"871",2023-06-13,"Atlanta Dream","86","New York Liberty","79","Box Score"
"872",2023-06-13,"Seattle Storm","83","Phoenix Mercury","69","Box Score"
"873",2023-06-14,"Los Angeles Sparks","79","Dallas Wings","61","Box Score"
"874",2023-06-15,"Indiana Fever","92","Chicago Sky","90","Box Score"
"875",2023-06-15,"Atlanta Dream","92","Connecticut Sun","88","Box Score"
"876",2023-06-15,"Seattle Storm","63","Las Vegas Aces","96","Box Score"
"877",2023-06-16,"Minnesota Lynx","77","Los Angeles Sparks","72","Box Score"
"878",2023-06-16,"Phoenix Mercury","69","Washington Mystics","88","Box Score"
"879",2023-06-17,"Seattle Storm","109","Dallas Wings","103","Box Score"
"880",2023-06-18,"Atlanta Dream","100","Indiana Fever","94","Box Score"
"881",2023-06-18,"Connecticut Sun","83","Los Angeles Sparks","74","Box Score"
"882",2023-06-18,"Minnesota Lynx","62","Las Vegas Aces","93","Box Score"
"883",2023-06-18,"Phoenix Mercury","71","New York Liberty","89","Box Score"
"884",2023-06-18,"Chicago Sky","69","Washington Mystics","77","Box Score"
"885",2023-06-20,"Atlanta Dream","73","Dallas Wings","85","Box Score"
"886",2023-06-20,"Minnesota Lynx","67","Los Angeles Sparks","61","Box Score"
"887",2023-06-20,"Connecticut Sun","85","Seattle Storm","79","Box Score"
"888",2023-06-21,"Las Vegas Aces","99","Phoenix Mercury","79","Box Score"
"889",2023-06-22,"Washington Mystics","80","Chicago Sky","59","Box Score"
"890",2023-06-22,"Connecticut Sun","89","Minnesota Lynx","68","Box Score"
"891",2023-06-22,"Indiana Fever","80","Seattle Storm","68","Box Score"
"892",2023-06-23,"New York Liberty","110","Atlanta Dream","80","Box Score"
"893",2023-06-23,"Dallas Wings","74","Los Angeles Sparks","76","Box Score"
"894",2023-06-24,"Indiana Fever","88","Las Vegas Aces","101","Box Score"
"895",2023-06-24,"Phoenix Mercury","74","Seattle Storm","97","Box Score"
"896",2023-06-25,"Chicago Sky","72","Connecticut Sun","96","Box Score"
"897",2023-06-25,"Dallas Wings","83","Los Angeles Sparks","93","Box Score"
"898",2023-06-25,"Washington Mystics","88","New York Liberty","89","Box Score"
"899",2023-06-26,"Indiana Fever","80","Las Vegas Aces","88","Box Score"
"900",2023-06-27,"New York Liberty","89","Connecticut Sun","81","Box Score"
"901",2023-06-27,"Seattle Storm","93","Minnesota Lynx","104","Box Score"
"902",2023-06-27,"Dallas Wings","77","Phoenix Mercury","62","Box Score"
"903",2023-06-28,"Los Angeles Sparks","63","Chicago Sky","80","Box Score"
"904",2023-06-28,"Atlanta Dream","86","Washington Mystics","109","Box Score"
"905",2023-06-29,"New York Liberty","81","Las Vegas Aces","98","Box Score"
"906",2023-06-29,"Indiana Fever","63","Phoenix Mercury","85","Box Score"
"907",2023-06-29,"Minnesota Lynx","99","Seattle Storm","97","Box Score"
"908",2023-06-30,"Washington Mystics","89","Atlanta Dream","94","Box Score"
"909",2023-06-30,"Los Angeles Sparks","78","Chicago Sky","86","Box Score"
"910",2023-07-01,"Connecticut Sun","84","Las Vegas Aces","102","Box Score"
"911",2023-07-01,"Minnesota Lynx","86","Phoenix Mercury","76","Box Score"
"912",2023-07-02,"Los Angeles Sparks","84","Atlanta Dream","112","Box Score"
"913",2023-07-02,"Washington Mystics","72","Dallas Wings","89","Box Score"
"914",2023-07-02,"Chicago Sky","89","Indiana Fever","87","Box Score"
"915",2023-07-02,"New York Liberty","81","Seattle Storm","66","Box Score"
"916",2023-07-05,"Atlanta Dream","90","Los Angeles Sparks","79","Box Score"
"917",2023-07-05,"Dallas Wings","82","Las Vegas Aces","89","Box Score"
"918",2023-07-05,"Indiana Fever","83","Minnesota Lynx","90","Box Score"
"919",2023-07-05,"Phoenix Mercury","95","New York Liberty","99","Box Score"
"920",2023-07-06,"Seattle Storm","73","Connecticut Sun","93","Box Score"
"921",2023-07-07,"Atlanta Dream","82","Chicago Sky","68","Box Score"
"922",2023-07-07,"Las Vegas Aces","78","Dallas Wings","80","Box Score"
"923",2023-07-07,"Phoenix Mercury","64","Minnesota Lynx","75","Box Score"
"924",2023-07-07,"Indiana Fever","88","Washington Mystics","96","Box Score"
"925",2023-07-08,"Seattle Storm","76","New York Liberty","80","Box Score"
"926",2023-07-09,"Atlanta Dream","88","Chicago Sky","77","Box Score"
"927",2023-07-09,"Washington Mystics","84","Connecticut Sun","92","Box Score"
"928",2023-07-09,"Dallas Wings","77","Indiana Fever","76","Box Score"
"929",2023-07-09,"Las Vegas Aces","113","Minnesota Lynx","89","Box Score"
"930",2023-07-09,"Los Angeles Sparks","72","Phoenix Mercury","78","Box Score"
"931",2023-07-11,"Phoenix Mercury","72","Las Vegas Aces","98","Box Score"
"932",2023-07-11,"Seattle Storm","86","Washington Mystics","93","Box Score"
"933",2023-07-12,"Seattle Storm","75","Atlanta Dream","85","Box Score"
"934",2023-07-12,"Connecticut Sun","84","Chicago Sky","72","Box Score"
"935",2023-07-12,"New York Liberty","95","Indiana Fever","87","Box Score"
"936",2023-07-12,"Las Vegas Aces","97","Los Angeles Sparks","78","Box Score"
"937",2023-07-12,"Dallas Wings","107","Minnesota Lynx","67","Box Score"
"938",2023-07-18,"Minnesota Lynx","73","Atlanta Dream","82","Box Score"
"939",2023-07-18,"Connecticut Sun","66","Phoenix Mercury","72","Box Score"
"940",2023-07-19,"Dallas Wings","98","New York Liberty","88","Box Score"
"941",2023-07-19,"Indiana Fever","82","Washington Mystics","76","Box Score"
"942",2023-07-20,"Atlanta Dream","71","Connecticut Sun","82","Box Score"
"943",2023-07-20,"Los Angeles Sparks","70","Minnesota Lynx","73","Box Score"
"944",2023-07-20,"Chicago Sky","62","Phoenix Mercury","80","Box Score"
"945",2023-07-20,"Las Vegas Aces","79","Seattle Storm","63","Box Score"
"946",2023-07-21,"New York Liberty","96","Washington Mystics","87","Box Score"
"947",2023-07-22,"Connecticut Sun","86","Atlanta Dream","78","Box Score"
"948",2023-07-22,"Los Angeles Sparks","84","Dallas Wings","98","Box Score"
"949",2023-07-22,"Las Vegas Aces","98","Minnesota Lynx","81","Box Score"
"950",2023-07-22,"Chicago Sky","90","Seattle Storm","75","Box Score"
"951",2023-07-23,"Indiana Fever","83","New York Liberty","101","Box Score"
"952",2023-07-23,"Phoenix Mercury","69","Washington Mystics","84","Box Score"
"953",2023-07-25,"Phoenix Mercury","65","Atlanta Dream","78","Box Score"
"954",2023-07-25,"Las Vegas Aces","107","Chicago Sky","95","Box Score"
"955",2023-07-25,"Connecticut Sun","88","Dallas Wings","83","Box Score"
"956",2023-07-25,"Indiana Fever","78","Los Angeles Sparks","79","Box Score"
"957",2023-07-25,"Seattle Storm","82","New York Liberty","86","Box Score"
"958",2023-07-26,"Washington Mystics","92","Minnesota Lynx","97","Box Score"
"959",2023-07-27,"Indiana Fever","68","Los Angeles Sparks","81","Box Score"
"960",2023-07-27,"Atlanta Dream","84","New York Liberty","95","Box Score"
"961",2023-07-28,"Seattle Storm","83","Chicago Sky","74","Box Score"
"962",2023-07-28,"Washington Mystics","62","Dallas Wings","90","Box Score"
"963",2023-07-28,"Minnesota Lynx","88","New York Liberty","83","Box Score"
"964",2023-07-30,"Washington Mystics","73","Atlanta Dream","80","Box Score"
"965",2023-07-30,"Phoenix Mercury","85","Chicago Sky","104","Box Score"
"966",2023-07-30,"Minnesota Lynx","87","Connecticut Sun","83","Box Score"
"967",2023-07-30,"Seattle Storm","85","Indiana Fever","62","Box Score"
"968",2023-07-30,"New York Liberty","87","Los Angeles Sparks","79","Box Score"
"969",2023-07-30,"Dallas Wings","91","Las Vegas Aces","104","Box Score"
"970",2023-08-01,"Minnesota Lynx","69","Connecticut Sun","79","Box Score"
"971",2023-08-01,"Phoenix Mercury","71","Indiana Fever","72","Box Score"
"972",2023-08-01,"New York Liberty","76","Los Angeles Sparks","69","Box Score"
"973",2023-08-01,"Atlanta Dream","72","Las Vegas Aces","93","Box Score"
"974",2023-08-02,"Dallas Wings","76","Seattle Storm","65","Box Score"
"975",2023-08-03,"Atlanta Dream","71","Phoenix Mercury","91","Box Score"
"976",2023-08-04,"Chicago Sky","104","Dallas Wings","89","Box Score"
"977",2023-08-04,"Connecticut Sun","88","Indiana Fever","72","Box Score"
"978",2023-08-04,"New York Liberty","76","Minnesota Lynx","66","Box Score"
"979",2023-08-04,"Los Angeles Sparks","77","Washington Mystics","79","Box Score"
"980",2023-08-05,"Seattle Storm","97","Phoenix Mercury","91","Box Score"
"981",2023-08-06,"Indiana Fever","73","Atlanta Dream","82","Box Score"
"982",2023-08-06,"Chicago Sky","104","Dallas Wings","96","Box Score"
"983",2023-08-06,"Las Vegas Aces","61","New York Liberty","99","Box Score"
"984",2023-08-06,"Los Angeles Sparks","91","Washington Mystics","83","Box Score"
"985",2023-08-08,"Minnesota Lynx","88","Chicago Sky","79","Box Score"
"986",2023-08-08,"Las Vegas Aces","104","Dallas Wings","84","Box Score"
"987",2023-08-08,"Los Angeles Sparks","87","Indiana Fever","80","Box Score"
"988",2023-08-08,"Washington Mystics","72","Phoenix Mercury","91","Box Score"
"989",2023-08-08,"Connecticut Sun","81","Seattle Storm","69","Box Score"
"990",2023-08-10,"Minnesota Lynx","73","Indiana Fever","91","Box Score"
"991",2023-08-10,"Connecticut Sun","84","Phoenix Mercury","90","Box Score"
"992",2023-08-10,"Atlanta Dream","67","Seattle Storm","68","Box Score"
"993",2023-08-11,"Washington Mystics","89","Las Vegas Aces","113","Box Score"
"994",2023-08-11,"Chicago Sky","73","New York Liberty","89","Box Score"
"995",2023-08-12,"Connecticut Sun","81","Dallas Wings","91","Box Score"
"996",2023-08-12,"Atlanta Dream","74","Los Angeles Sparks","85","Box Score"
"997",2023-08-13,"New York Liberty","100","Indiana Fever","89","Box Score"
"998",2023-08-13,"Atlanta Dream","65","Las Vegas Aces","86","Box Score"
"999",2023-08-13,"Phoenix Mercury","71","Seattle Storm","81","Box Score"
"1000",2023-08-13,"Chicago Sky","76","Washington Mystics","83","Box Score"
"1001",2023-08-17,"New York Liberty","75","Las Vegas Aces","88","Box Score"
"1002",2023-08-18,"Chicago Sky","67","Atlanta Dream","78","Box Score"
"1003",2023-08-18,"Dallas Wings","95","Connecticut Sun","75","Box Score"
"1004",2023-08-18,"Washington Mystics","83","Indiana Fever","79","Box Score"
"1005",2023-08-18,"New York Liberty","85","Phoenix Mercury","63","Box Score"
"1006",2023-08-18,"Minnesota Lynx","78","Seattle Storm","70","Box Score"
"1007",2023-08-19,"Los Angeles Sparks","78","Las Vegas Aces","72","Box Score"
"1008",2023-08-20,"Connecticut Sun","79","Chicago Sky","73","Box Score"
"1009",2023-08-20,"Seattle Storm","88","Minnesota Lynx","74","Box Score"
"1010",2023-08-20,"Indiana Fever","83","Phoenix Mercury","73","Box Score"
"1011",2023-08-20,"Dallas Wings","97","Washington Mystics","84","Box Score"
"1012",2023-08-22,"Las Vegas Aces","112","Atlanta Dream","100","Box Score"
"1013",2023-08-22,"Seattle Storm","79","Chicago Sky","102","Box Score"
"1014",2023-08-22,"Dallas Wings","86","Minnesota Lynx","91","Box Score"
"1015",2023-08-22,"Connecticut Sun","68","Washington Mystics","64","Box Score"
"1016",2023-08-23,"Phoenix Mercury","62","Los Angeles Sparks","91","Box Score"
"1017",2023-08-24,"Las Vegas Aces","94","Chicago Sky","87","Box Score"
"1018",2023-08-24,"New York Liberty","95","Connecticut Sun","90","Box Score"
"1019",2023-08-24,"Minnesota Lynx","90","Dallas Wings","81","Box Score"
"1020",2023-08-24,"Seattle Storm","86","Indiana Fever","90","Box Score"
"1021",2023-08-25,"Los Angeles Sparks","83","Atlanta Dream","78","Box Score"
"1022",2023-08-26,"New York Liberty","111","Minnesota Lynx","76","Box Score"
"1023",2023-08-26,"Las Vegas Aces","62","Washington Mystics","78","Box Score"
"1024",2023-08-27,"Los Angeles Sparks","68","Connecticut Sun","83","Box Score"
"1025",2023-08-27,"Atlanta Dream","80","Indiana Fever","83","Box Score"
"1026",2023-08-27,"Dallas Wings","77","Phoenix Mercury","74","Box Score"
"1027",2023-08-27,"Chicago Sky","90","Seattle Storm","85","Box Score"
"1028",2023-08-28,"Las Vegas Aces","85","New York Liberty","94","Box Score"
"1029",2023-08-29,"Phoenix Mercury","76","Atlanta Dream","94","Box Score"
"1030",2023-08-29,"Chicago Sky","76","Los Angeles Sparks","75","Box Score"
"1031",2023-08-29,"Minnesota Lynx","72","Washington Mystics","83","Box Score"
"1032",2023-08-31,"Phoenix Mercury","74","Connecticut Sun","84","Box Score"
"1033",2023-08-31,"Seattle Storm","72","Los Angeles Sparks","61","Box Score"
"1034",2023-08-31,"Washington Mystics","75","Las Vegas Aces","84","Box Score"
"1035",2023-09-01,"Dallas Wings","110","Indiana Fever","100","Box Score"
"1036",2023-09-01,"Atlanta Dream","85","Minnesota Lynx","91","Box Score"
"1037",2023-09-01,"Connecticut Sun","58","New York Liberty","89","Box Score"
"1038",2023-09-02,"Seattle Storm","77","Las Vegas Aces","103","Box Score"
"1039",2023-09-03,"New York Liberty","86","Chicago Sky","69","Box Score"
"1040",2023-09-03,"Indiana Fever","97","Dallas Wings","84","Box Score"
"1041",2023-09-03,"Washington Mystics","64","Los Angeles Sparks","72","Box Score"
"1042",2023-09-03,"Phoenix Mercury","73","Minnesota Lynx","86","Box Score"
"1043",2023-09-05,"Los Angeles Sparks","76","Connecticut Sun","90","Box Score"
"1044",2023-09-05,"New York Liberty","94","Dallas Wings","93","Box Score"
"1045",2023-09-05,"Chicago Sky","96","Indiana Fever","69","Box Score"
"1046",2023-09-05,"Washington Mystics","100","Phoenix Mercury","77","Box Score"
"1047",2023-09-06,"Seattle Storm","68","Atlanta Dream","79","Box Score"
"1048",2023-09-07,"Los Angeles Sparks","89","New York Liberty","96","Box Score"
"1049",2023-09-08,"Minnesota Lynx","87","Chicago Sky","92","Box Score"
"1050",2023-09-08,"Indiana Fever","59","Connecticut Sun","76","Box Score"
"1051",2023-09-08,"Seattle Storm","91","Dallas Wings","106","Box Score"
"1052",2023-09-08,"Las Vegas Aces","94","Phoenix Mercury","73","Box Score"
"1053",2023-09-08,"Atlanta Dream","80","Washington Mystics","75","Box Score"
"1054",2023-09-10,"Dallas Wings","94","Atlanta Dream","77","Box Score"
"1055",2023-09-10,"Chicago Sky","102","Connecticut Sun","91","Box Score"
"1056",2023-09-10,"Minnesota Lynx","72","Indiana Fever","87","Box Score"
"1057",2023-09-10,"Phoenix Mercury","85","Las Vegas Aces","100","Box Score"
"1058",2023-09-10,"Washington Mystics","90","New York Liberty","88","Box Score"
"1059",2023-09-10,"Los Angeles Sparks","91","Seattle Storm","89","Box Score"
"1060",NA,"Playoffs","Playoffs","Playoffs","Playoffs","Playoffs"
"1061",2023-09-13,"Minnesota Lynx","60","Connecticut Sun","90","Box Score"
"1062",2023-09-13,"Chicago Sky","59","Las Vegas Aces","87","Box Score"
"1063",2023-09-15,"Atlanta Dream","82","Dallas Wings","94","Box Score"
"1064",2023-09-15,"Washington Mystics","75","New York Liberty","90","Box Score"
"1065",2023-09-17,"Minnesota Lynx","82","Connecticut Sun","75","Box Score"
"1066",2023-09-17,"Chicago Sky","70","Las Vegas Aces","92","Box Score"
"1067",2023-09-19,"Atlanta Dream","74","Dallas Wings","101","Box Score"
"1068",2023-09-19,"Washington Mystics","85","New York Liberty","90","Box Score"
"1069",2023-09-20,"Connecticut Sun","90","Minnesota Lynx","75","Box Score"
"1070",2023-09-24,"Dallas Wings","83","Las Vegas Aces","97","Box Score"
"1071",2023-09-24,"Connecticut Sun","78","New York Liberty","63","Box Score"
"1072",2023-09-26,"Dallas Wings","84","Las Vegas Aces","91","Box Score"
"1073",2023-09-26,"Connecticut Sun","77","New York Liberty","84","Box Score"
"1074",2023-09-29,"New York Liberty","92","Connecticut Sun","81","Box Score"
"1075",2023-09-29,"Las Vegas Aces","64","Dallas Wings","61","Box Score"
"1076",2023-10-01,"New York Liberty","87","Connecticut Sun","84","Box Score"
"1077",2023-10-08,"New York Liberty","82","Las Vegas Aces","99","Box Score"
"1078",2023-10-11,"New York Liberty","76","Las Vegas Aces","104","Box Score"
