"","Date","Visitor/Neutral","PTS","Home/Neutral","PTS",""
"162",2019-08-20,"Minnesota Lynx","71","Los Angeles Sparks","81","Box Score"
"163",2019-08-20,"Phoenix Mercury","79","Las Vegas Aces","84","Box Score"
"164",2019-08-22,"Indiana Fever","65","Los Angeles Sparks","98","Box Score"
"165",2019-08-22,"Dallas Wings","70","Minnesota Lynx","86","Box Score"
"166",2019-08-23,"Washington Mystics","78","Chicago Sky","85","Box Score"
"167",2019-08-23,"Las Vegas Aces","85","Connecticut Sun","89","Box Score"
"168",2019-08-23,"Atlanta Dream","90","New York Liberty","87","Box Score"
"169",2019-08-25,"Atlanta Dream","77","Dallas Wings","73","Box Score"
"170",2019-08-25,"Connecticut Sun","72","Los Angeles Sparks","84","Box Score"
"171",2019-08-25,"Las Vegas Aces","77","Minnesota Lynx","98","Box Score"
"172",2019-08-25,"Chicago Sky","94","Phoenix Mercury","86","Box Score"
"173",2019-08-25,"Indiana Fever","63","Seattle Storm","54","Box Score"
"174",2019-08-25,"New York Liberty","72","Washington Mystics","101","Box Score"
"175",2019-08-27,"Las Vegas Aces","71","Indiana Fever","86","Box Score"
"176",2019-08-27,"Chicago Sky","85","Minnesota Lynx","93","Box Score"
"177",2019-08-27,"Phoenix Mercury","95","New York Liberty","82","Box Score"
"178",2019-08-27,"Connecticut Sun","89","Seattle Storm","70","Box Score"
"179",2019-08-27,"Los Angeles Sparks","66","Washington Mystics","95","Box Score"
"180",2019-08-29,"Phoenix Mercury","65","Atlanta Dream","58","Box Score"
"181",2019-08-29,"Dallas Wings","88","Chicago Sky","83","Box Score"
"182",2019-08-29,"Los Angeles Sparks","87","Indiana Fever","83","Box Score"
"183",2019-08-30,"Connecticut Sun","94","New York Liberty","84","Box Score"
"184",2019-08-31,"Washington Mystics","91","Dallas Wings","85","Box Score"
"185",2019-08-31,"Los Angeles Sparks","86","Las Vegas Aces","92","Box Score"
"186",2019-09-01,"Phoenix Mercury","78","Chicago Sky","105","Box Score"
"187",2019-09-01,"Indiana Fever","73","Minnesota Lynx","81","Box Score"
"188",2019-09-01,"Atlanta Dream","75","Seattle Storm","92","Box Score"
"189",2019-09-03,"Atlanta Dream","60","Los Angeles Sparks","70","Box Score"
"190",2019-09-03,"Washington Mystics","93","New York Liberty","77","Box Score"
"191",2019-09-03,"Seattle Storm","82","Phoenix Mercury","70","Box Score"
"192",2019-09-04,"Dallas Wings","72","Connecticut Sun","102","Box Score"
"193",2019-09-05,"Las Vegas Aces","74","Atlanta Dream","78","Box Score"
"194",2019-09-05,"Seattle Storm","68","Los Angeles Sparks","102","Box Score"
"195",2019-09-06,"Chicago Sky","109","Connecticut Sun","104","Box Score"
"196",2019-09-06,"Indiana Fever","86","New York Liberty","81","Box Score"
"197",2019-09-06,"Minnesota Lynx","83","Phoenix Mercury","69","Box Score"
"198",2019-09-06,"Dallas Wings","73","Washington Mystics","86","Box Score"
"199",2019-09-08,"New York Liberty","71","Atlanta Dream","63","Box Score"
"200",2019-09-08,"Seattle Storm","78","Dallas Wings","64","Box Score"
"201",2019-09-08,"Connecticut Sun","76","Indiana Fever","104","Box Score"
"202",2019-09-08,"Minnesota Lynx","68","Los Angeles Sparks","77","Box Score"
"203",2019-09-08,"Las Vegas Aces","98","Phoenix Mercury","89","Box Score"
"204",2019-09-08,"Chicago Sky","86","Washington Mystics","100","Box Score"
"205",NA,"Playoffs","Playoffs","Playoffs","Playoffs","Playoffs"
"206",2019-09-11,"Phoenix Mercury","76","Chicago Sky","105","Box Score"
"207",2019-09-11,"Minnesota Lynx","74","Seattle Storm","84","Box Score"
"208",2019-09-15,"Seattle Storm","69","Los Angeles Sparks","92","Box Score"
"209",2019-09-15,"Chicago Sky","92","Las Vegas Aces","93","Box Score"
"210",2019-09-17,"Los Angeles Sparks","75","Connecticut Sun","84","Box Score"
"211",2019-09-17,"Las Vegas Aces","95","Washington Mystics","97","Box Score"
"212",2019-09-19,"Los Angeles Sparks","68","Connecticut Sun","94","Box Score"
"213",2019-09-19,"Las Vegas Aces","91","Washington Mystics","103","Box Score"
"214",2019-09-22,"Connecticut Sun","78","Los Angeles Sparks","56","Box Score"
"215",2019-09-22,"Washington Mystics","75","Las Vegas Aces","92","Box Score"
"216",2019-09-24,"Washington Mystics","94","Las Vegas Aces","90","Box Score"
"217",2019-09-29,"Connecticut Sun","86","Washington Mystics","95","Box Score"
"218",2019-10-01,"Connecticut Sun","99","Washington Mystics","87","Box Score"
"219",2019-10-06,"Washington Mystics","94","Connecticut Sun","81","Box Score"
"220",2019-10-08,"Washington Mystics","86","Connecticut Sun","90","Box Score"
"221",2019-10-10,"Connecticut Sun","78","Washington Mystics","89","Box Score"
"222",2020-07-25,"Seattle Storm","87","New York Liberty","71","Box Score"
"223",2020-07-25,"Los Angeles Sparks","99","Phoenix Mercury","76","Box Score"
"224",2020-07-25,"Indiana Fever","76","Washington Mystics","101","Box Score"
"225",2020-07-26,"Dallas Wings","95","Atlanta Dream","105","Box Score"
"226",2020-07-26,"Chicago Sky","88","Las Vegas Aces","86","Box Score"
"227",2020-07-26,"Connecticut Sun","69","Minnesota Lynx","77","Box Score"
"228",2020-07-28,"Los Angeles Sparks","78","Chicago Sky","96","Box Score"
"229",2020-07-28,"Washington Mystics","94","Connecticut Sun","89","Box Score"
"230",2020-07-28,"Minnesota Lynx","66","Seattle Storm","90","Box Score"
"231",2020-07-29,"New York Liberty","80","Dallas Wings","93","Box Score"
"232",2020-07-29,"Phoenix Mercury","100","Indiana Fever","106","Box Score"
"233",2020-07-29,"Atlanta Dream","70","Las Vegas Aces","100","Box Score"
"234",2020-07-30,"Connecticut Sun","76","Los Angeles Sparks","81","Box Score"
"235",2020-07-30,"Chicago Sky","81","Minnesota Lynx","83","Box Score"
"236",2020-07-30,"Seattle Storm","71","Washington Mystics","89","Box Score"
"237",2020-07-31,"New York Liberty","78","Atlanta Dream","84","Box Score"
"238",2020-07-31,"Indiana Fever","73","Dallas Wings","76","Box Score"
"239",2020-07-31,"Las Vegas Aces","95","Phoenix Mercury","102","Box Score"
"240",2020-08-01,"Washington Mystics","86","Chicago Sky","88","Box Score"
"241",2020-08-01,"Minnesota Lynx","78","Connecticut Sun","69","Box Score"
"242",2020-08-01,"Los Angeles Sparks","75","Seattle Storm","81","Box Score"
"243",2020-08-02,"Atlanta Dream","77","Indiana Fever","93","Box Score"
"244",2020-08-02,"Dallas Wings","70","Las Vegas Aces","79","Box Score"
"245",2020-08-02,"Phoenix Mercury","96","New York Liberty","67","Box Score"
"246",2020-08-04,"Phoenix Mercury","81","Atlanta Dream","74","Box Score"
"247",2020-08-04,"Dallas Wings","79","Chicago Sky","82","Box Score"
"248",2020-08-04,"Connecticut Sun","74","Seattle Storm","87","Box Score"
"249",2020-08-05,"Indiana Fever","75","Los Angeles Sparks","86","Box Score"
"250",2020-08-05,"Minnesota Lynx","92","New York Liberty","66","Box Score"
"251",2020-08-05,"Las Vegas Aces","83","Washington Mystics","77","Box Score"
"252",2020-08-06,"Seattle Storm","93","Atlanta Dream","92","Box Score"
"253",2020-08-06,"Connecticut Sun","91","Dallas Wings","68","Box Score"
"254",2020-08-06,"Chicago Sky","86","Phoenix Mercury","96","Box Score"
"255",2020-08-07,"Los Angeles Sparks","82","Las Vegas Aces","86","Box Score"
"256",2020-08-07,"Indiana Fever","80","Minnesota Lynx","87","Box Score"
"257",2020-08-07,"New York Liberty","74","Washington Mystics","66","Box Score"
"258",2020-08-08,"Chicago Sky","100","Connecticut Sun","93","Box Score"
"259",2020-08-08,"Atlanta Dream","75","Dallas Wings","85","Box Score"
"260",2020-08-08,"Phoenix Mercury","68","Seattle Storm","74","Box Score"
"261",2020-08-09,"Washington Mystics","84","Indiana Fever","91","Box Score"
"262",2020-08-09,"Minnesota Lynx","81","Los Angeles Sparks","97","Box Score"
"263",2020-08-09,"Las Vegas Aces","78","New York Liberty","76","Box Score"
"264",2020-08-10,"Connecticut Sun","93","Atlanta Dream","82","Box Score"
"265",2020-08-10,"Phoenix Mercury","91","Dallas Wings","79","Box Score"
"266",2020-08-10,"Chicago Sky","71","Seattle Storm","89","Box Score"
"267",2020-08-11,"Las Vegas Aces","98","Indiana Fever","79","Box Score"
"268",2020-08-11,"New York Liberty","78","Los Angeles Sparks","93","Box Score"
"269",2020-08-11,"Washington Mystics","48","Minnesota Lynx","68","Box Score"
"270",2020-08-12,"Phoenix Mercury","71","Chicago Sky","89","Box Score"
"271",2020-08-12,"Dallas Wings","66","Connecticut Sun","70","Box Score"
"272",2020-08-12,"Atlanta Dream","63","Seattle Storm","100","Box Score"
"273",2020-08-13,"Minnesota Lynx","77","Las Vegas Aces","87","Box Score"
"274",2020-08-13,"Indiana Fever","86","New York Liberty","79","Box Score"
"275",2020-08-13,"Los Angeles Sparks","81","Washington Mystics","64","Box Score"
"276",2020-08-14,"Connecticut Sun","77","Chicago Sky","74","Box Score"
"277",2020-08-14,"Seattle Storm","83","Dallas Wings","65","Box Score"
"278",2020-08-14,"Atlanta Dream","80","Phoenix Mercury","96","Box Score"
"279",2020-08-15,"Los Angeles Sparks","90","Indiana Fever","76","Box Score"
"280",2020-08-15,"Washington Mystics","73","Las Vegas Aces","88","Box Score"
"281",2020-08-15,"New York Liberty","64","Minnesota Lynx","94","Box Score"
"282",2020-08-16,"Chicago Sky","92","Atlanta Dream","67","Box Score"
"283",2020-08-16,"Seattle Storm","95","Connecticut Sun","72","Box Score"
"284",2020-08-16,"Dallas Wings","95","Phoenix Mercury","89","Box Score"
"285",2020-08-18,"Las Vegas Aces","82","Chicago Sky","84","Box Score"
"286",2020-08-18,"Indiana Fever","62","Connecticut Sun","84","Box Score"
"287",2020-08-18,"New York Liberty","64","Seattle Storm","105","Box Score"
"288",2020-08-19,"Phoenix Mercury","74","Los Angeles Sparks","83","Box Score"
"289",2020-08-19,"Dallas Wings","84","Minnesota Lynx","91","Box Score"
"290",2020-08-19,"Atlanta Dream","91","Washington Mystics","98","Box Score"
"291",2020-08-20,"Seattle Storm","84","Indiana Fever","90","Box Score"
"292",2020-08-20,"Connecticut Sun","78","Las Vegas Aces","99","Box Score"
"293",2020-08-20,"Chicago Sky","101","New York Liberty","85","Box Score"
"294",2020-08-21,"Los Angeles Sparks","93","Atlanta Dream","85","Box Score"
"295",2020-08-21,"Washington Mystics","92","Dallas Wings","101","Box Score"
"296",2020-08-21,"Minnesota Lynx","90","Phoenix Mercury","80","Box Score"
"297",2020-08-22,"Indiana Fever","76","Chicago Sky","87","Box Score"
"298",2020-08-22,"New York Liberty","65","Connecticut Sun","82","Box Score"
"299",2020-08-22,"Seattle Storm","74","Las Vegas Aces","82","Box Score"
"300",2020-08-23,"Dallas Wings","81","Los Angeles Sparks","84","Box Score"
"301",2020-08-23,"Atlanta Dream","78","Minnesota Lynx","75","Box Score"
"302",2020-08-23,"Phoenix Mercury","88","Washington Mystics","87","Box Score"
"303",2020-08-25,"New York Liberty","101","Chicago Sky","99","Box Score"
"304",2020-08-25,"Las Vegas Aces","96","Dallas Wings","92","Box Score"
"305",2020-08-25,"Indiana Fever","74","Seattle Storm","87","Box Score"
"306",2020-08-28,"Minnesota Lynx","88","Atlanta Dream","79","Box Score"
"307",2020-08-28,"Los Angeles Sparks","80","Connecticut Sun","76","Box Score"
"308",2020-08-28,"Washington Mystics","72","Phoenix Mercury","94","Box Score"
"309",2020-08-29,"Seattle Storm","88","Chicago Sky","74","Box Score"
"310",2020-08-29,"Dallas Wings","82","Indiana Fever","78","Box Score"
"311",2020-08-29,"New York Liberty","63","Las Vegas Aces","80","Box Score"
"312",2020-08-30,"Atlanta Dream","79","Los Angeles Sparks","84","Box Score"
"313",2020-08-30,"Phoenix Mercury","83","Minnesota Lynx","79","Box Score"
"314",2020-08-30,"Connecticut Sun","76","Washington Mystics","63","Box Score"
"315",2020-08-31,"Chicago Sky","100","Indiana Fever","77","Box Score"
"316",2020-08-31,"Los Angeles Sparks","78","Minnesota Lynx","96","Box Score"
"317",2020-09-01,"Indiana Fever","90","Atlanta Dream","102","Box Score"
"318",2020-09-01,"Phoenix Mercury","92","Las Vegas Aces","85","Box Score"
"319",2020-09-01,"Connecticut Sun","70","New York Liberty","65","Box Score"
"320",2020-09-02,"Minnesota Lynx","86","Chicago Sky","83","Box Score"
"321",2020-09-02,"Los Angeles Sparks","91","Dallas Wings","83","Box Score"
"322",2020-09-02,"Washington Mystics","64","Seattle Storm","71","Box Score"
"323",2020-09-03,"Las Vegas Aces","93","Connecticut Sun","78","Box Score"
"324",2020-09-03,"Atlanta Dream","62","New York Liberty","56","Box Score"
"325",2020-09-03,"Indiana Fever","81","Phoenix Mercury","105","Box Score"
"326",2020-09-04,"Minnesota Lynx","88","Dallas Wings","75","Box Score"
"327",2020-09-04,"Seattle Storm","90","Los Angeles Sparks","89","Box Score"
"328",2020-09-04,"Chicago Sky","69","Washington Mystics","79","Box Score"
"329",2020-09-05,"Las Vegas Aces","89","Atlanta Dream","79","Box Score"
"330",2020-09-05,"Connecticut Sun","96","Indiana Fever","77","Box Score"
"331",2020-09-05,"New York Liberty","67","Phoenix Mercury","83","Box Score"
"332",2020-09-06,"Chicago Sky","80","Los Angeles Sparks","86","Box Score"
"333",2020-09-06,"Seattle Storm","103","Minnesota Lynx","88","Box Score"
"334",2020-09-06,"Dallas Wings","101","Washington Mystics","94","Box Score"
"335",2020-09-07,"Connecticut Sun","85","Phoenix Mercury","70","Box Score"
"336",2020-09-08,"Indiana Fever","86","Las Vegas Aces","92","Box Score"
"337",2020-09-08,"Los Angeles Sparks","96","New York Liberty","70","Box Score"
"338",2020-09-08,"Minnesota Lynx","86","Washington Mystics","89","Box Score"
"339",2020-09-09,"Atlanta Dream","97","Chicago Sky","89","Box Score"
"340",2020-09-09,"Phoenix Mercury","100","Connecticut Sun","95","Box Score"
"341",2020-09-09,"Dallas Wings","95","Seattle Storm","107","Box Score"
"342",2020-09-10,"New York Liberty","75","Indiana Fever","85","Box Score"
"343",2020-09-10,"Washington Mystics","80","Los Angeles Sparks","72","Box Score"
"344",2020-09-10,"Las Vegas Aces","104","Minnesota Lynx","89","Box Score"
"345",2020-09-11,"Atlanta Dream","82","Connecticut Sun","75","Box Score"
"346",2020-09-11,"Chicago Sky","95","Dallas Wings","88","Box Score"
"347",2020-09-11,"Seattle Storm","83","Phoenix Mercury","60","Box Score"
"348",2020-09-12,"Minnesota Lynx","98","Indiana Fever","86","Box Score"
"349",2020-09-12,"Las Vegas Aces","84","Los Angeles Sparks","70","Box Score"
"350",2020-09-12,"Washington Mystics","75","New York Liberty","58","Box Score"
"351",2020-09-13,"Washington Mystics","85","Atlanta Dream","78","Box Score"
"352",2020-09-13,"Dallas Wings","82","New York Liberty","79","Box Score"
"353",2020-09-13,"Las Vegas Aces","86","Seattle Storm","84","Box Score"
"354",NA,"Playoffs","Playoffs","Playoffs","Playoffs","Playoffs"
"355",2020-09-15,"Connecticut Sun","94","Chicago Sky","81","Box Score"
"356",2020-09-15,"Washington Mystics","84","Phoenix Mercury","85","Box Score"
"357",2020-09-17,"Connecticut Sun","73","Los Angeles Sparks","59","Box Score"
"358",2020-09-17,"Phoenix Mercury","79","Minnesota Lynx","80","Box Score"
"359",2020-09-20,"Connecticut Sun","87","Las Vegas Aces","62","Box Score"
