F,VENUE,TEAMS,DATE,Win,Road PTS,Home PTS,1Q,2Q,3Q,4Q,OT1,OT2,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,AST,PF,STL,TO,BLK,PTS,POSS,PACE,OEFF,DEFF,TEAM REST DAYS,DATASET
68,Road,Dallas,6/6/2021,1,68,67,17,11,21,19,,,200,25,70,5,22,13,13,9,33,42,13,18,5,13,3,68,79.72,79.72,85.298544907,85.765488991,1,WNBA 2021 Regular Season
81,Home,Phoenix,6/8/2021,0,85,81,13,22,26,20,,,200,29,70,5,25,18,23,11,25,36,20,10,3,7,7,81,76.12,76.12,106.41093011,109.366958312,3+,WNBA 2021 Commissioner’s Cup
85,Road,Dallas,6/8/2021,1,85,81,19,23,19,24,,,200,32,75,10,26,11,13,12,29,41,20,22,5,9,4,85,77.72,77.72,109.366958312,106.41093011,1,WNBA 2021 Commissioner’s Cup
85,Home,Washington,6/8/2021,1,81,85,17,26,27,15,,,200,29,68,6,20,21,22,4,25,29,20,19,13,12,6,85,85.68,85.68,99.206349206,89.010989011,2,WNBA 2021 Regular Season
81,Road,Minnesota,6/8/2021,0,81,85,18,20,18,25,,,200,26,64,6,22,23,25,5,31,36,19,25,8,21,4,81,91,91,89.010989011,99.206349206,1,WNBA 2021 Regular Season
71,Home,Atlanta,6/9/2021,0,95,71,23,20,18,10,,,200,29,82,3,26,10,13,16,26,42,18,18,9,12,2,71,83.72,83.72,84.80649785,118.690654673,2,WNBA 2021 Regular Season
95,Road,Seattle,6/9/2021,1,95,71,28,17,24,26,,,200,35,64,12,22,13,16,3,29,32,27,16,7,12,9,95,80.04,80.04,118.690654673,84.80649785,2,WNBA 2021 Regular Season
92,Home,Chicago,6/9/2021,1,76,92,25,26,18,23,,,200,32,71,9,23,19,21,12,28,40,24,17,8,10,6,92,78.24,78.24,117.586912065,93.366093366,3+,WNBA 2021 Commissioner’s Cup
76,Road,Indiana,6/9/2021,0,76,92,12,27,19,18,,,200,30,72,6,17,10,10,11,26,37,18,20,8,16,6,76,81.4,81.4,93.366093366,117.586912065,3+,WNBA 2021 Commissioner’s Cup
89,Home,Washington,6/10/2021,1,71,89,23,22,24,20,,,200,30,71,11,26,18,22,12,31,43,18,25,4,12,5,89,80.68,80.68,110.312345067,87.309394983,1,WNBA 2021 Regular Season
71,Road,Los Angeles,6/10/2021,0,71,89,14,21,16,20,,,200,22,67,8,23,19,28,9,22,31,13,19,6,11,4,71,81.32,81.32,87.309394983,110.312345067,3+,WNBA 2021 Regular Season
75,Home,Atlanta,6/11/2021,0,86,75,22,13,23,17,,,200,26,72,4,18,19,22,8,25,33,14,15,4,5,2,75,78.68,78.68,95.32282664,114.60554371,1,WNBA 2021 Regular Season
86,Road,Seattle,6/11/2021,1,86,75,20,25,24,17,,,200,31,61,10,21,14,16,5,36,41,22,20,1,12,0,86,75.04,75.04,114.60554371,95.32282664,1,WNBA 2021 Regular Season
59,Home,Phoenix,6/11/2021,0,77,59,12,21,15,11,,,200,22,63,3,20,12,16,6,23,29,16,14,4,13,7,59,77.04,77.04,76.583592939,98.364844149,2,WNBA 2021 Regular Season
77,Road,Dallas,6/11/2021,1,77,59,23,17,17,20,,,200,30,72,6,22,11,12,12,28,40,16,16,6,13,4,77,78.28,78.28,98.364844149,76.583592939,2,WNBA 2021 Regular Season
79,Home,Indiana,6/12/2021,0,83,79,27,22,17,13,,,200,30,62,4,11,15,22,10,21,31,13,21,10,17,5,79,78.68,78.68,100.406710727,97.647058824,2,WNBA 2021 Commissioner’s Cup
83,Road,Chicago,6/12/2021,1,83,79,29,27,11,16,,,200,27,63,8,18,21,25,5,22,27,16,24,7,16,4,83,85,85,97.647058824,100.406710727,2,WNBA 2021 Commissioner’s Cup
80,Home,Minnesota,6/12/2021,1,64,80,26,23,8,23,,,200,25,58,11,22,19,21,9,34,43,20,15,8,22,5,80,80.24,80.24,99.700897308,81.75779254,3+,WNBA 2021 Commissioner’s Cup
64,Road,Los Angeles,6/12/2021,0,64,80,19,16,22,7,,,200,23,70,8,23,10,12,9,18,27,15,18,9,12,5,64,78.28,78.28,81.75779254,99.700897308,1,WNBA 2021 Commissioner’s Cup
101,Home,Atlanta,6/13/2021,1,78,101,19,32,28,22,,,200,36,71,13,29,16,21,10,23,33,20,22,10,13,2,101,83.24,83.24,121.335896204,100.723140496,1,WNBA 2021 Commissioner’s Cup
78,Road,Washington,6/13/2021,0,78,101,25,24,17,12,,,200,23,61,11,27,21,26,12,21,33,15,19,8,17,4,78,77.44,77.44,100.723140496,121.335896204,2,WNBA 2021 Commissioner’s Cup
66,Home,Connecticut,6/13/2021,0,89,66,16,13,16,21,,,200,27,60,6,15,6,8,5,26,31,16,14,4,17,2,66,75.52,75.52,87.394067797,113.520408163,3+,WNBA 2021 Regular Season
89,Road,Seattle,6/13/2021,1,89,66,25,18,19,27,,,200,35,72,10,22,9,10,6,22,28,26,14,9,8,3,89,78.4,78.4,113.520408163,87.394067797,1,WNBA 2021 Regular Season
85,Home,Las Vegas,6/13/2021,1,78,85,27,16,22,20,,,200,30,64,4,12,21,26,4,37,41,17,25,6,16,4,85,87.44,87.44,97.209515096,91.894439208,3+,WNBA 2021 Commissioner’s Cup
78,Road,Dallas,6/13/2021,0,78,85,22,19,22,15,,,200,25,77,5,24,23,27,14,22,36,17,26,11,10,2,78,84.88,84.88,91.894439208,97.209515096,1,WNBA 2021 Commissioner’s Cup
83,Home,Phoenix,6/13/2021,0,85,83,14,22,25,22,,,200,25,65,5,24,28,33,8,34,42,16,16,4,15,4,83,86.52,86.52,95.931576514,99.812118365,1,WNBA 2021 Regular Season
85,Road,New York,6/13/2021,1,85,83,26,22,19,18,,,200,32,76,10,32,11,14,7,29,36,18,22,7,10,3,85,85.16,85.16,99.812118365,95.931576514,3+,WNBA 2021 Regular Season
70,Home,Indiana,6/15/2021,0,87,70,16,17,18,19,,,200,27,64,3,17,13,24,5,27,32,18,16,5,9,7,70,78.56,78.56,89.103869654,109.131961867,2,WNBA 2021 Regular Season
87,Road,Seattle,6/15/2021,1,87,70,25,16,20,26,,,200,34,69,8,22,11,13,5,33,38,27,16,5,10,1,87,79.72,79.72,109.131961867,89.103869654,1,WNBA 2021 Regular Season
100,Home,Las Vegas,6/15/2021,1,78,100,22,26,25,27,,,200,40,72,5,13,15,16,7,29,36,26,16,10,15,1,100,87.04,87.04,114.889705882,94.568380213,1,WNBA 2021 Regular Season
78,Road,New York,6/15/2021,0,78,100,26,19,15,18,,,200,29,61,9,28,11,17,4,20,24,18,18,9,18,5,78,82.48,82.48,94.568380213,114.889705882,1,WNBA 2021 Regular Season
89,Home,Minnesota,6/15/2021,0,105,89,23,26,14,26,,,200,32,70,5,14,20,27,9,23,32,15,17,7,20,2,89,92.88,92.88,95.822566753,122.036262204,2,WNBA 2021 Regular Season
105,Road,Chicago,6/15/2021,1,105,89,39,19,24,23,,,200,40,70,12,26,13,16,4,26,30,32,18,12,13,3,105,86.04,86.04,122.036262204,95.822566753,2,WNBA 2021 Regular Season
85,Home,Los Angeles,6/16/2021,1,80,85,27,26,15,17,,,200,36,80,9,28,4,6,14,21,35,17,23,3,5,6,85,73.64,73.64,115.426398696,104.821802935,3+,WNBA 2021 Commissioner’s Cup
80,Road,Phoenix,6/16/2021,0,80,85,24,19,23,14,,,200,26,63,7,21,21,28,9,29,38,18,15,1,10,1,80,76.32,76.32,104.821802935,115.426398696,2,WNBA 2021 Commissioner’s Cup
81,Home,Chicago,6/17/2021,1,75,81,16,15,28,22,,,200,28,68,5,23,20,24,10,28,38,19,23,9,12,4,81,80.56,80.56,100.546176763,93.890836254,1,WNBA 2021 Commissioner’s Cup
75,Road,Connecticut,6/17/2021,0,75,81,19,17,19,20,,,200,25,62,4,13,21,27,8,26,34,11,23,4,14,5,75,79.88,79.88,93.890836254,100.546176763,3+,WNBA 2021 Commissioner’s Cup
73,Home,Dallas,6/17/2021,0,85,73,16,17,22,18,,,200,26,75,7,20,14,18,10,24,34,15,18,8,10,3,73,82.92,82.92,88.036661843,104.731394776,3+,WNBA 2021 Commissioner’s Cup
85,Road,Minnesota,6/17/2021,1,85,73,20,23,17,25,,,200,33,68,7,21,12,14,7,33,40,19,19,6,14,3,85,81.16,81.16,104.731394776,88.036661843,1,WNBA 2021 Commissioner’s Cup
69,Home,Indiana,6/17/2021,0,79,69,17,19,24,9,,,200,26,62,2,14,15,17,3,29,32,16,16,6,15,5,69,81.48,81.48,84.683357879,94.497607656,1,WNBA 2021 Regular Season
79,Road,Seattle,6/17/2021,1,79,69,22,18,25,14,,,200,31,72,6,20,11,15,9,31,40,22,19,9,14,2,79,83.6,83.6,94.497607656,84.683357879,1,WNBA 2021 Regular Season
103,Home,Las Vegas,6/17/2021,1,76,103,22,33,25,23,,,200,34,77,11,23,24,30,15,37,52,25,21,5,12,10,103,87.2,87.2,118.119266055,81.405312768,1,WNBA 2021 Regular Season
76,Road,New York,6/17/2021,0,76,103,15,19,23,19,,,200,26,83,10,38,14,19,9,27,36,20,24,6,11,4,76,93.36,93.36,81.405312768,118.119266055,1,WNBA 2021 Regular Season
96,Home,Washington,6/17/2021,1,93,96,13,25,29,29,,,200,33,67,13,31,17,20,5,26,31,22,17,7,15,1,96,85.8,85.8,111.888111888,110.398860399,3+,WNBA 2021 Commissioner’s Cup
93,Road,Atlanta,6/17/2021,0,93,96,21,25,23,24,,,200,34,70,8,21,17,21,8,29,37,23,17,14,13,6,93,84.24,84.24,110.398860399,111.888111888,3+,WNBA 2021 Commissioner’s Cup
66,Home,Los Angeles,6/18/2021,0,80,66,17,19,13,17,,,200,23,60,4,14,16,22,5,23,28,10,25,8,12,2,66,76.68,76.68,86.07198748,104.384133612,1,WNBA 2021 Regular Season
80,Road,Phoenix,6/18/2021,1,80,66,17,27,18,18,,,200,25,55,5,16,25,31,4,29,33,13,19,8,12,3,80,76.64,76.64,104.384133612,86.07198748,1,WNBA 2021 Regular Season
91,Home,Chicago,6/19/2021,1,81,91,12,28,27,24,,,200,32,64,7,18,20,21,5,24,29,24,21,9,12,5,91,80.24,80.24,113.409770688,99.02200489,1,WNBA 2021 Regular Season
81,Road,Connecticut,6/19/2021,0,81,91,21,13,30,17,,,200,29,63,6,18,17,20,8,24,32,22,17,6,18,4,81,81.8,81.8,99.02200489,113.409770688,1,WNBA 2021 Regular Season
95,Home,Dallas,6/19/2021,1,77,95,29,26,19,21,,,200,32,64,17,28,14,14,9,31,40,17,23,9,15,4,95,76.16,76.16,124.737394958,93.719571568,1,WNBA 2021 Regular Season
77,Road,Minnesota,6/19/2021,0,77,95,14,21,27,15,,,200,27,67,11,27,12,14,5,21,26,16,15,7,14,4,77,82.16,82.16,93.719571568,124.737394958,1,WNBA 2021 Regular Season
82,Home,Washington,6/19/2021,1,77,82,19,27,15,21,,,200,30,81,7,34,15,17,15,25,40,16,18,7,10,0,82,83.48,83.48,98.227120268,97.271349166,1,WNBA 2021 Commissioner’s Cup
77,Road,Indiana,6/19/2021,0,77,82,25,14,22,16,,,200,30,67,4,13,13,14,6,30,36,15,20,5,12,4,77,79.16,79.16,97.271349166,98.227120268,1,WNBA 2021 Commissioner’s Cup
73,Home,Los Angeles,6/20/2021,0,76,73,18,18,22,15,,,200,31,68,6,24,5,10,8,19,27,16,19,17,18,2,73,82.4,82.4,88.59223301,90.692124105,1,WNBA 2021 Regular Season
76,Road,New York,6/20/2021,1,76,73,21,23,14,18,,,200,24,57,10,31,18,20,11,27,38,18,16,9,29,3,76,83.8,83.8,90.692124105,88.59223301,2,WNBA 2021 Regular Season
80,Home,Connecticut,6/22/2021,1,70,80,20,10,28,22,,,200,31,71,4,20,14,15,12,25,37,19,15,6,12,6,80,77.6,77.6,103.092783505,96.259625963,2,WNBA 2021 Regular Season
70,Road,Dallas,6/22/2021,0,70,80,19,19,15,17,,,200,27,61,6,14,10,13,6,21,27,15,19,5,12,3,70,72.72,72.72,96.259625963,103.092783505,2,WNBA 2021 Regular Season
72,Home,New York,6/22/2021,0,92,72,14,18,20,20,,,200,29,68,6,28,8,11,3,29,32,19,12,3,16,9,72,85.84,85.84,83.876980429,104.879160967,1,WNBA 2021 Commissioner’s Cup
92,Road,Chicago,6/22/2021,1,92,72,20,28,27,17,,,200,36,80,7,24,13,13,7,35,42,26,15,8,9,2,92,87.72,87.72,104.879160967,83.876980429,2,WNBA 2021 Commissioner’s Cup
83,Home,Seattle,6/22/2021,0,87,83,19,17,30,17,,,200,32,71,8,19,11,12,9,27,36,21,12,4,7,6,83,74.28,74.28,111.739364567,117.250673854,3+,WNBA 2021 Regular Season
87,Road,Washington,6/22/2021,1,87,83,22,21,26,18,,,200,34,77,16,38,3,5,12,27,39,25,13,2,7,2,87,74.2,74.2,117.250673854,111.739364567,2,WNBA 2021 Regular Season
85,Home,Atlanta,6/23/2021,0,87,85,28,18,30,9,,,200,33,69,5,13,14,17,6,21,27,17,15,13,10,5,85,80.48,80.48,105.616302187,112.113402062,3+,WNBA 2021 Regular Season
87,Road,Minnesota,6/23/2021,1,87,85,16,24,28,19,,,200,34,65,7,24,12,15,11,24,35,24,19,7,17,6,87,77.6,77.6,112.113402062,105.616302187,3+,WNBA 2021 Regular Season
64,Home,Indiana,6/24/2021,0,89,64,12,12,23,17,,,200,23,65,5,17,13,15,9,20,29,13,16,3,19,0,64,81.6,81.6,78.431372549,113.404689093,3+,WNBA 2021 Regular Season
89,Road,Dallas,6/24/2021,1,89,64,24,19,19,27,,,200,32,68,8,25,17,17,10,24,34,17,22,8,13,7,89,78.48,78.48,113.404689093,78.431372549,1,WNBA 2021 Regular Season
89,Home,Los Angeles,6/24/2021,1,82,89,17,32,18,22,,,200,33,64,10,17,13,15,0,22,22,16,18,8,12,6,89,82.6,82.6,107.748184019,96.334586466,3+,WNBA 2021 Regular Season
82,Road,Washington,6/24/2021,0,82,89,23,21,22,16,,,200,26,65,11,27,19,23,10,28,38,18,20,4,20,2,82,85.12,85.12,96.334586466,107.748184019,1,WNBA 2021 Regular Season
68,Home,New York,6/24/2021,0,91,68,14,13,25,16,,,200,25,67,4,25,14,18,9,28,37,13,19,3,21,3,68,86.92,86.92,78.2328578,104.645814167,1,WNBA 2021 Regular Season
91,Road,Chicago,6/24/2021,1,91,68,18,37,18,18,,,200,37,74,9,19,8,9,5,30,35,25,18,9,14,4,91,86.96,86.96,104.645814167,78.2328578,1,WNBA 2021 Regular Season
90,Home,Minnesota,6/25/2021,1,89,90,26,18,25,13,8,,225,35,76,2,15,18,21,5,33,38,24,26,8,13,7,90,93.24,82.88,96.525096525,95.044852627,1,WNBA 2021 Commissioner’s Cup
89,Road,Las Vegas,6/25/2021,0,89,90,26,22,15,19,7,,225,30,78,4,11,25,31,14,30,44,19,16,7,16,2,89,93.64,83.235555556,95.044852627,96.525096525,3+,WNBA 2021 Commissioner’s Cup
78,Home,Atlanta,6/26/2021,0,101,78,14,26,18,20,,,200,29,71,4,17,16,19,7,18,25,14,21,13,14,2,78,86.36,86.36,90.319592404,121.219395103,2,WNBA 2021 Commissioner’s Cup
101,Road,New York,6/26/2021,1,101,78,20,23,26,32,,,200,32,59,13,32,24,28,6,30,36,22,15,5,18,5,101,83.32,83.32,121.219395103,90.319592404,1,WNBA 2021 Commissioner’s Cup
85,Home,Dallas,6/26/2021,1,74,85,22,24,20,19,,,200,33,78,10,29,9,9,10,30,40,20,11,9,8,3,85,79.96,79.96,106.303151576,92.407592408,1,WNBA 2021 Regular Season
74,Road,Washington,6/26/2021,0,74,85,14,16,25,19,,,200,30,72,9,31,5,7,5,27,32,24,11,7,10,4,74,80.08,80.08,92.407592408,106.303151576,1,WNBA 2021 Regular Season
74,Home,Connecticut,6/27/2021,1,58,74,21,15,26,12,,,200,27,64,6,14,14,19,13,25,38,13,18,9,18,3,74,77.36,77.36,95.656670114,76.235541535,3+,WNBA 2021 Commissioner’s Cup
58,Road,Chicago,6/27/2021,0,58,74,13,17,14,14,,,200,23,69,5,24,7,7,14,20,34,13,18,5,18,6,58,76.08,76.08,76.235541535,95.656670114,2,WNBA 2021 Commissioner’s Cup
95,Home,Las Vegas,6/27/2021,1,92,95,16,21,21,26,11,,225,35,80,6,11,19,23,7,28,35,18,16,8,12,3,95,95.12,84.551111111,99.873843566,97.91400596,1,WNBA 2021 Commissioner’s Cup
92,Road,Seattle,6/27/2021,0,92,95,21,21,23,19,8,,225,38,82,8,26,8,9,8,35,43,21,21,7,16,4,92,93.96,83.52,97.91400596,99.873843566,3+,WNBA 2021 Commissioner’s Cup
88,Home,Phoenix,6/27/2021,1,79,88,24,23,22,19,,,200,28,62,9,21,23,26,8,36,44,13,18,3,18,4,88,83.44,83.44,105.465004794,93.380614657,3+,WNBA 2021 Commissioner’s Cup
79,Road,Los Angeles,6/27/2021,0,79,88,26,17,12,24,,,200,31,74,6,20,11,15,5,26,31,14,24,7,9,3,79,84.6,84.6,93.380614657,105.465004794,2,WNBA 2021 Commissioner’s Cup
73,Home,Atlanta,6/29/2021,1,69,73,27,13,22,11,,,200,27,76,7,18,12,16,12,22,34,17,12,10,8,6,73,79.04,79.04,92.358299595,92.493297587,2,WNBA 2021 Regular Season
69,Road,New York,6/29/2021,0,69,73,25,9,24,11,,,200,24,60,9,24,12,15,7,29,36,14,14,4,15,3,69,74.6,74.6,92.493297587,92.358299595,2,WNBA 2021 Regular Season
71,Home,Washington,6/29/2021,0,90,71,19,14,18,20,,,200,24,63,12,36,11,13,1,12,13,21,8,11,10,7,71,77.72,77.72,91.353576943,116.943866944,2,WNBA 2021 Commissioner’s Cup
90,Road,Connecticut,6/29/2021,1,90,71,22,27,24,17,,,200,35,70,12,24,8,9,17,35,52,21,20,7,20,1,90,76.96,76.96,116.943866944,91.353576943,1,WNBA 2021 Commissioner’s Cup
81,Home,Dallas,6/30/2021,0,91,81,11,18,30,22,,,200,31,75,6,25,13,16,9,28,37,19,20,10,17,6,81,90.04,90.04,89.96001777,104.166666667,3+,WNBA 2021 Regular Season
91,Road,Chicago,6/30/2021,1,91,81,30,21,18,22,,,200,34,71,10,23,13,19,8,30,38,28,21,7,16,2,91,87.36,87.36,104.166666667,89.96001777,2,WNBA 2021 Regular Season
75,Home,Los Angeles,6/30/2021,0,99,75,19,18,22,16,,,200,28,82,7,24,12,17,10,29,39,12,13,9,11,3,75,90.48,90.48,82.891246684,106.041131105,2,WNBA 2021 Commissioner’s Cup
99,Road,Las Vegas,6/30/2021,1,99,75,28,28,24,19,,,200,37,81,7,22,18,19,12,43,55,27,16,8,16,6,99,93.36,93.36,106.041131105,82.891246684,2,WNBA 2021 Commissioner’s Cup
76,Home,Phoenix,6/30/2021,0,82,76,25,19,17,15,,,200,29,68,6,22,12,15,5,17,22,17,12,6,9,5,76,78.6,78.6,96.692111959,109.39167556,2,WNBA 2021 Commissioner’s Cup
82,Road,Minnesota,6/30/2021,1,82,76,20,25,23,14,,,200,34,67,6,13,8,9,12,27,39,21,18,4,16,4,82,74.96,74.96,109.39167556,96.692111959,3+,WNBA 2021 Commissioner’s Cup
80,Home,Indiana,7/1/2021,0,86,80,17,20,23,20,,,200,29,60,2,9,20,22,5,19,24,18,22,9,15,1,80,79.68,79.68,100.401606426,109.637939827,3+,WNBA 2021 Commissioner’s Cup
86,Road,Connecticut,7/1/2021,1,86,80,26,29,13,18,,,200,29,63,5,20,23,26,11,18,29,19,21,9,15,4,86,78.44,78.44,109.637939827,100.401606426,1,WNBA 2021 Commissioner’s Cup
100,Home,Dallas,7/2/2021,1,91,100,26,25,21,28,,,200,34,64,11,20,21,26,10,16,26,23,15,4,13,7,100,78.44,78.44,127.485976543,121.59273116,1,WNBA 2021 Regular Season
91,Road,Chicago,7/2/2021,0,91,100,27,21,22,21,,,200,37,66,7,20,10,11,6,21,27,26,18,4,10,3,91,74.84,74.84,121.59273116,127.485976543,1,WNBA 2021 Regular Season
58,Home,Los Angeles,7/2/2021,0,66,58,13,17,14,14,,,200,22,62,6,21,8,10,5,28,33,12,20,5,13,6,58,74.4,74.4,77.956989247,84.485407066,1,WNBA 2021 Regular Season
66,Road,Las Vegas,7/2/2021,1,66,58,17,21,13,15,,,200,23,61,2,11,18,23,5,29,34,11,14,7,12,4,66,78.12,78.12,84.485407066,77.956989247,1,WNBA 2021 Regular Season
91,Home,Seattle,7/2/2021,1,88,91,23,27,23,18,,,200,30,62,14,22,17,22,6,27,33,23,11,6,15,4,91,80.68,80.68,112.79127417,105.363984674,3+,WNBA 2021 Regular Season
88,Road,Atlanta,7/2/2021,0,88,91,24,23,18,23,,,200,37,78,8,20,6,8,7,24,31,26,17,11,9,3,88,83.52,83.52,105.363984674,112.79127417,2,WNBA 2021 Regular Season
73,Home,Indiana,7/3/2021,1,67,73,14,14,24,21,,,200,25,63,4,17,19,27,9,30,39,9,20,4,7,6,73,72.88,72.88,100.164654226,90.785907859,1,WNBA 2021 Regular Season
67,Road,Connecticut,7/3/2021,0,67,73,16,13,17,21,,,200,24,67,4,17,15,20,10,27,37,15,20,5,8,3,67,73.8,73.8,90.785907859,100.164654226,1,WNBA 2021 Regular Season
82,Home,New York,7/3/2021,1,79,82,15,18,23,26,,,200,29,64,8,20,16,19,3,36,39,16,20,5,11,5,82,80.36,80.36,102.040816327,96.294490492,3+,WNBA 2021 Commissioner’s Cup
79,Road,Washington,7/3/2021,0,79,82,28,23,15,13,,,200,32,75,5,24,10,16,8,26,34,21,15,5,8,6,79,82.04,82.04,96.294490492,102.040816327,3+,WNBA 2021 Commissioner’s Cup
68,Home,Phoenix,7/3/2021,0,99,68,18,23,10,17,,,200,21,64,10,26,16,17,2,24,26,16,17,5,11,3,68,80.48,80.48,84.49304175,120.496592016,2,WNBA 2021 Regular Season
99,Road,Minnesota,7/3/2021,1,99,68,22,37,20,20,,,200,38,69,9,24,14,14,3,38,41,26,18,6,10,4,99,82.16,82.16,120.496592016,84.49304175,2,WNBA 2021 Regular Season
74,Home,Los Angeles,7/4/2021,0,84,74,15,15,28,16,,,200,25,65,7,18,17,17,7,23,30,18,18,5,12,5,74,77.48,77.48,95.508518327,111.287758347,1,WNBA 2021 Commissioner’s Cup
84,Road,Seattle,7/4/2021,1,84,74,20,19,17,28,,,200,30,64,8,20,16,17,7,26,33,19,16,7,11,4,84,75.48,75.48,111.287758347,95.508518327,1,WNBA 2021 Commissioner’s Cup
118,Home,Las Vegas,7/4/2021,1,95,118,29,22,33,34,,,200,43,72,11,17,21,28,10,33,43,31,14,5,11,1,118,85.32,85.32,138.302859822,110.413761041,1,WNBA 2021 Regular Season
95,Road,Atlanta,7/4/2021,0,95,118,31,17,27,20,,,200,38,80,7,19,12,16,8,20,28,24,22,5,7,2,95,86.04,86.04,110.413761041,138.302859822,1,WNBA 2021 Regular Season
99,Home,New York,7/5/2021,1,96,99,32,19,23,25,,,200,40,71,15,31,4,8,6,23,29,27,17,8,15,5,99,83.52,83.52,118.534482759,113.475177305,1,WNBA 2021 Regular Season
96,Road,Dallas,7/5/2021,0,96,99,24,23,22,27,,,200,38,76,7,16,13,15,10,21,31,23,16,8,12,6,96,84.6,84.6,113.475177305,118.534482759,2,WNBA 2021 Regular Season
90,Home,Las Vegas,7/7/2021,0,99,90,20,23,20,21,6,,225,36,82,3,13,15,24,9,34,43,22,21,7,6,3,90,89.56,79.608888889,100.491290755,112.807657247,2,WNBA 2021 Commissioner’s Cup
99,Road,Phoenix,7/7/2021,1,99,90,24,26,8,26,15,,225,32,74,10,27,25,29,10,35,45,21,21,4,11,6,99,87.76,78.008888889,112.807657247,100.491290755,3+,WNBA 2021 Commissioner’s Cup
85,Home,Minnesota,7/7/2021,1,79,85,23,15,22,25,,,200,33,65,7,20,12,17,5,27,32,22,10,6,13,6,85,80.48,80.48,105.616302187,100.611309221,3+,WNBA 2021 Commissioner’s Cup
79,Road,Dallas,7/7/2021,0,79,85,18,28,19,14,,,200,31,74,9,28,8,8,10,24,34,15,20,7,11,4,79,78.52,78.52,100.611309221,105.616302187,1,WNBA 2021 Commissioner’s Cup
71,Home,Seattle,7/7/2021,1,62,71,23,15,15,18,,,200,23,61,5,20,20,21,14,23,37,11,19,11,19,4,71,75.24,75.24,94.364699628,79.69151671,2,WNBA 2021 Commissioner’s Cup
62,Road,Los Angeles,7/7/2021,0,62,71,9,20,14,19,,,200,21,59,4,19,16,20,7,21,28,8,19,11,17,5,62,77.8,77.8,79.69151671,94.364699628,2,WNBA 2021 Commissioner’s Cup
84,Home,Connecticut,7/9/2021,1,72,84,21,22,23,18,,,200,35,68,6,19,8,13,5,33,38,22,12,5,11,1,84,79.72,79.72,105.368790768,89.108910891,3+,WNBA 2021 Commissioner’s Cup
72,Road,Atlanta,7/9/2021,0,72,84,16,23,17,16,,,200,25,65,8,25,14,20,3,25,28,15,18,6,10,4,72,80.8,80.8,89.108910891,105.368790768,3+,WNBA 2021 Commissioner’s Cup
82,Home,Indiana,7/9/2021,1,69,82,23,21,19,19,,,200,33,71,3,13,13,13,6,26,32,17,15,8,8,6,82,78.72,78.72,104.166666667,83.413926499,3+,WNBA 2021 Regular Season
69,Road,New York,7/9/2021,0,69,82,28,12,12,17,,,200,26,66,6,23,11,13,9,29,38,18,18,3,20,3,69,82.72,82.72,83.413926499,104.166666667,3+,WNBA 2021 Regular Season
67,Home,Las Vegas,7/9/2021,0,77,67,18,19,12,18,,,200,24,67,3,15,16,19,11,31,42,14,8,4,15,6,67,79.36,79.36,84.425403226,97.46835443,1,WNBA 2021 Commissioner’s Cup
77,Road,Minnesota,7/9/2021,1,77,67,33,16,15,13,,,200,34,75,9,22,0,0,6,29,35,23,20,10,10,2,77,79,79,97.46835443,84.425403226,1,WNBA 2021 Commissioner’s Cup
85,Home,Phoenix,7/9/2021,1,77,85,17,22,21,25,,,200,33,70,4,18,15,17,9,30,39,21,12,7,11,6,85,79.48,79.48,106.945143432,95.91429995,1,WNBA 2021 Commissioner’s Cup
77,Road,Seattle,7/9/2021,0,77,85,19,15,23,20,,,200,29,76,8,26,11,12,9,27,36,18,17,7,8,1,77,80.28,80.28,95.91429995,106.945143432,1,WNBA 2021 Commissioner’s Cup
85,Home,Chicago,7/10/2021,0,89,85,22,22,18,20,3,,225,34,78,6,27,11,13,8,27,35,27,21,8,12,7,85,87.72,77.973333333,96.899224806,98.233995585,3+,WNBA 2021 Commissioner’s Cup
89,Road,Washington,7/10/2021,1,89,85,31,15,24,12,7,,225,35,79,8,24,11,15,10,34,44,24,11,7,15,2,89,90.6,80.533333333,98.233995585,96.899224806,3+,WNBA 2021 Commissioner’s Cup
68,Home,Atlanta,7/11/2021,0,79,68,21,19,20,8,,,200,27,76,1,13,13,20,8,22,30,16,22,10,6,5,68,82.8,82.8,82.125603865,94.678811122,1,WNBA 2021 Commissioner’s Cup
79,Road,Indiana,7/11/2021,1,79,68,17,25,25,12,,,200,27,65,5,17,20,26,12,37,49,18,18,2,19,4,79,83.44,83.44,94.678811122,82.125603865,1,WNBA 2021 Commissioner’s Cup
79,Home,Dallas,7/11/2021,0,95,79,20,22,17,20,,,200,28,83,7,24,16,19,15,25,40,17,20,4,6,2,79,82.36,82.36,95.920349684,116.995073892,3+,WNBA 2021 Commissioner’s Cup
95,Road,Las Vegas,7/11/2021,1,95,79,15,33,28,19,,,200,34,67,3,8,24,30,9,34,43,25,12,2,10,11,95,81.2,81.2,116.995073892,95.920349684,1,WNBA 2021 Commissioner’s Cup
61,Home,Los Angeles,7/11/2021,0,86,61,13,18,18,12,,,200,22,60,4,15,13,17,6,18,24,14,16,12,15,4,61,76.48,76.48,79.759414226,113.756613757,3+,WNBA 2021 Commissioner’s Cup
