F,VENUE,TEAMS,DATE,Win,Road PTS,Home PTS,1Q,2Q,3Q,4Q,OT1,OT2,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,AST,PF,STL,TO,BLK,PTS,POSS,PACE,OEFF,DEFF,TEAM REST DAYS,DATASET
85,Home,Minnesota,6/8/2019,0,89,85,17,22,27,19,,,200,29,67,7,19,20,26,13,28,41,22,15,7,21,5,85,86.44,86.44,98.334104581,104.117922321,1,WNBA 2019 Regular Season
89,Road,Los Angeles,6/8/2019,1,89,85,17,27,23,22,,,200,32,74,9,25,16,17,12,21,33,18,21,13,16,5,89,85.48,85.48,104.117922321,98.334104581,1,WNBA 2019 Regular Season
59,Home,Atlanta,6/9/2019,0,65,59,13,19,16,11,,,200,22,68,3,18,12,15,13,33,46,13,21,6,18,4,59,79.6,79.6,74.120603015,80.805569368,2,WNBA 2019 Regular Season
65,Road,Connecticut,6/9/2019,1,65,59,26,18,12,9,,,200,21,74,6,25,17,26,16,29,45,15,16,13,11,8,65,80.44,80.44,80.805569368,74.120603015,2,WNBA 2019 Regular Season
78,Home,Chicago,6/9/2019,1,71,78,29,15,18,16,,,200,31,73,8,22,8,11,11,34,45,20,16,8,20,2,78,86.84,86.84,89.820359281,87.26647001,3+,WNBA 2019 Regular Season
71,Road,Seattle,6/9/2019,0,71,78,16,18,19,18,,,200,26,68,3,18,16,19,6,16,22,15,13,12,11,8,71,81.36,81.36,87.26647001,89.820359281,3+,WNBA 2019 Regular Season
87,Home,Indiana,6/9/2019,0,94,87,12,16,26,33,,,200,32,72,10,16,13,14,6,28,34,20,18,3,11,4,87,83.16,83.16,104.617604618,117.97188755,1,WNBA 2019 Regular Season
94,Road,Phoenix,6/9/2019,1,94,87,22,31,25,16,,,200,34,74,9,18,17,22,10,25,35,26,18,6,6,3,94,79.68,79.68,117.97188755,104.617604618,2,WNBA 2019 Regular Season
88,Home,New York,6/9/2019,1,78,88,19,26,23,20,,,200,32,81,6,26,18,21,12,34,46,21,19,7,9,8,88,87.24,87.24,100.871160018,90.11090573,1,WNBA 2019 Regular Season
78,Road,Las Vegas,6/9/2019,0,78,88,22,15,25,16,,,200,28,79,4,13,18,24,15,27,42,14,20,5,12,3,78,86.56,86.56,90.11090573,100.871160018,2,WNBA 2019 Regular Season
86,Home,Washington,6/9/2019,1,62,86,15,25,16,30,,,200,30,68,12,31,14,16,9,20,29,19,10,7,12,4,86,78.04,78.04,110.199897488,87.768969422,1,WNBA 2019 Regular Season
62,Road,Dallas,6/9/2019,0,62,86,20,14,12,16,,,200,28,61,3,14,3,6,8,21,29,19,18,5,15,2,62,70.64,70.64,87.768969422,110.199897488,1,WNBA 2019 Regular Season
82,Home,Chicago,6/11/2019,1,75,82,20,23,24,15,,,200,32,73,12,23,6,6,9,30,39,22,20,5,14,4,82,80.64,80.64,101.686507937,90.579710145,1,WNBA 2019 Regular Season
75,Road,Phoenix,6/11/2019,0,75,82,24,17,14,20,,,200,27,67,5,17,16,20,6,26,32,16,16,7,13,4,75,82.8,82.8,90.579710145,101.686507937,1,WNBA 2019 Regular Season
83,Home,Connecticut,6/11/2019,1,75,83,18,15,27,23,,,200,31,66,10,21,11,12,6,32,38,18,13,5,15,3,83,80.28,80.28,103.388141505,94.601412714,1,WNBA 2019 Regular Season
75,Road,Washington,6/11/2019,0,75,83,24,13,18,20,,,200,29,71,6,28,11,12,5,25,30,23,14,13,8,6,75,79.28,79.28,94.601412714,103.388141505,1,WNBA 2019 Regular Season
82,Home,Indiana,6/11/2019,0,84,82,17,22,20,23,,,200,34,66,6,15,8,9,9,23,32,23,19,8,13,5,82,73.96,73.96,110.870740941,107.637109175,1,WNBA 2019 Regular Season
84,Road,Seattle,6/11/2019,1,84,82,24,22,19,19,,,200,32,70,5,9,15,16,10,21,31,23,11,10,11,2,84,78.04,78.04,107.637109175,110.870740941,1,WNBA 2019 Regular Season
75,Home,New York,6/12/2019,1,69,75,19,19,17,20,,,200,30,65,5,23,10,13,7,30,37,22,13,13,17,2,75,80.72,80.72,92.913776016,81.52173913,2,WNBA 2019 Regular Season
69,Road,Minnesota,6/12/2019,0,69,75,10,18,22,19,,,200,28,69,9,30,4,6,8,24,32,19,14,8,21,4,69,84.64,84.64,81.52173913,92.913776016,3+,WNBA 2019 Regular Season
72,Home,Dallas,6/13/2019,0,76,72,16,15,16,25,,,200,25,66,6,17,16,18,12,21,33,17,16,5,13,2,72,74.92,74.92,96.102509343,106.145251397,3+,WNBA 2019 Regular Season
76,Road,Indiana,6/13/2019,1,76,72,16,18,24,18,,,200,27,64,8,24,14,15,16,21,37,16,14,6,17,4,76,71.6,71.6,106.145251397,96.102509343,1,WNBA 2019 Regular Season
100,Home,Las Vegas,6/14/2019,1,65,100,35,31,19,15,,,200,33,61,5,14,29,36,8,38,46,23,20,12,19,6,100,87.84,87.84,113.843351548,72.837292694,3+,WNBA 2019 Regular Season
65,Road,New York,6/14/2019,0,65,100,15,16,19,15,,,200,22,68,3,21,18,21,3,18,21,13,23,9,15,2,65,89.24,89.24,72.837292694,113.843351548,1,WNBA 2019 Regular Season
81,Home,Minnesota,6/14/2019,0,85,81,22,21,24,14,,,200,29,67,8,26,15,20,8,18,26,21,20,7,9,6,81,76.8,76.8,105.46875,101.967370441,1,WNBA 2019 Regular Season
85,Road,Connecticut,6/14/2019,1,85,81,24,20,24,17,,,200,33,66,7,18,12,19,5,31,36,21,18,6,14,2,85,83.36,83.36,101.967370441,105.46875,2,WNBA 2019 Regular Season
68,Home,Phoenix,6/14/2019,0,85,68,20,16,14,18,,,200,25,72,5,17,13,13,13,23,36,15,13,5,12,2,68,76.72,76.72,88.633993743,114.926987561,2,WNBA 2019 Regular Season
85,Road,Los Angeles,6/14/2019,1,85,68,20,18,24,23,,,200,34,66,9,19,8,9,5,25,30,19,21,7,9,4,85,73.96,73.96,114.926987561,88.633993743,3+,WNBA 2019 Regular Season
71,Home,Washington,6/14/2019,0,74,71,26,20,17,8,,,200,23,66,9,26,16,20,8,22,30,16,17,12,10,6,71,76.8,76.8,92.447916667,95.755693582,2,WNBA 2019 Regular Season
74,Road,Seattle,6/14/2019,1,74,71,24,14,14,22,,,200,29,63,6,17,10,12,9,31,40,15,20,3,18,2,74,77.28,77.28,95.755693582,92.447916667,2,WNBA 2019 Regular Season
71,Home,Dallas,6/15/2019,1,61,71,8,20,17,26,,,200,26,74,6,22,13,18,17,24,41,10,22,12,12,6,71,76.92,76.92,92.303692148,80.347734457,1,WNBA 2019 Regular Season
61,Road,Atlanta,6/15/2019,0,61,71,13,19,12,17,,,200,21,60,6,17,13,18,12,28,40,12,19,5,20,9,61,75.92,75.92,80.347734457,92.303692148,3+,WNBA 2019 Regular Season
64,Home,Indiana,6/15/2019,0,70,64,21,8,14,21,,,200,26,78,3,15,9,12,13,29,42,14,17,4,10,5,64,80.28,80.28,79.720976582,94.850948509,1,WNBA 2019 Regular Season
70,Road,Chicago,6/15/2019,1,70,64,17,13,21,19,,,200,22,68,8,21,18,20,13,32,45,17,18,4,10,6,70,73.8,73.8,94.850948509,79.720976582,3+,WNBA 2019 Regular Season
92,Home,Los Angeles,6/15/2019,0,98,92,19,31,22,20,,,200,39,84,8,23,6,7,12,30,42,22,22,5,14,3,92,89.08,89.08,103.277952402,116.058739934,B2B,WNBA 2019 Regular Season
98,Road,New York,6/15/2019,1,98,92,17,31,24,26,,,200,33,70,9,20,23,26,6,29,35,22,12,11,9,6,98,84.44,84.44,116.058739934,103.277952402,3IN4-B2B,WNBA 2019 Regular Season
81,Home,Connecticut,6/16/2019,1,67,81,28,16,12,25,,,200,32,66,9,20,8,9,10,23,33,23,15,12,15,3,81,74.96,74.96,108.057630736,91.881513988,1,WNBA 2019 Regular Season
67,Road,Seattle,6/16/2019,0,67,81,17,16,21,13,,,200,25,57,3,13,14,18,7,21,28,16,11,8,15,4,67,72.92,72.92,91.881513988,108.057630736,1,WNBA 2019 Regular Season
75,Home,Minnesota,6/16/2019,0,80,75,19,20,19,17,,,200,29,68,8,26,9,10,5,26,31,21,23,6,14,5,75,81.4,81.4,92.137592138,98.911968348,1,WNBA 2019 Regular Season
80,Road,Las Vegas,6/16/2019,1,80,75,11,24,23,22,,,200,24,59,8,18,24,27,6,32,38,15,13,6,16,6,80,80.88,80.88,98.911968348,92.137592138,1,WNBA 2019 Regular Season
52,Home,Los Angeles,6/18/2019,0,81,52,10,17,11,14,,,200,19,66,3,19,11,18,10,28,38,10,12,9,26,1,52,89.92,89.92,57.829181495,99.802858551,2,WNBA 2019 Regular Season
81,Road,Washington,6/18/2019,1,81,52,24,24,14,19,,,200,28,66,13,28,12,14,8,28,36,20,17,20,17,5,81,81.16,81.16,99.802858551,57.829181495,3+,WNBA 2019 Regular Season
88,Home,Atlanta,6/19/2019,1,78,88,17,28,18,25,,,200,30,68,10,22,18,23,11,27,38,20,14,6,6,5,88,73.12,73.12,120.350109409,102.254850551,3+,WNBA 2019 Regular Season
78,Road,Indiana,6/19/2019,0,78,88,17,27,15,19,,,200,32,80,5,18,9,12,17,21,38,11,21,4,8,6,78,76.28,76.28,102.254850551,120.350109409,3+,WNBA 2019 Regular Season
83,Home,New York,6/19/2019,0,91,83,12,22,22,27,,,200,32,81,10,22,9,11,6,26,32,24,18,3,9,3,83,88.84,88.84,93.426384511,112.623762376,3+,WNBA 2019 Regular Season
91,Road,Chicago,6/19/2019,1,91,83,20,21,20,30,,,200,34,67,7,19,16,20,5,35,40,20,15,6,10,7,91,80.8,80.8,112.623762376,93.426384511,3+,WNBA 2019 Regular Season
69,Home,Dallas,6/20/2019,1,54,69,15,18,16,20,,,200,26,66,5,22,12,15,14,35,49,13,19,5,18,4,69,76.6,76.6,90.078328982,69.911962714,3+,WNBA 2019 Regular Season
54,Road,Phoenix,6/20/2019,0,54,69,12,15,13,14,,,200,15,61,6,20,18,21,7,21,28,10,21,10,14,4,54,77.24,77.24,69.911962714,90.078328982,3+,WNBA 2019 Regular Season
72,Home,Las Vegas,6/20/2019,0,95,72,19,20,22,11,,,200,27,69,6,16,12,17,10,24,34,19,16,7,15,5,72,81.48,81.48,88.365243004,117.690782953,3+,WNBA 2019 Regular Season
95,Road,Washington,6/20/2019,1,95,72,30,21,21,23,,,200,36,68,10,20,13,13,6,30,36,22,16,6,13,8,95,80.72,80.72,117.690782953,88.365243004,1,WNBA 2019 Regular Season
69,Home,Chicago,6/21/2019,0,76,69,16,15,19,19,,,200,25,67,7,23,12,13,5,20,25,18,20,8,10,4,69,77.72,77.72,88.780236747,100.529100529,1,WNBA 2019 Regular Season
76,Road,Indiana,6/21/2019,1,76,69,22,18,20,16,,,200,27,61,8,17,14,15,7,29,36,16,14,4,15,2,76,75.6,75.6,100.529100529,88.780236747,1,WNBA 2019 Regular Season
86,Home,Connecticut,6/21/2019,1,76,86,17,22,26,21,,,200,29,64,12,23,16,24,7,25,32,21,15,5,12,2,86,79.56,79.56,108.094519859,92.864125122,3+,WNBA 2019 Regular Season
76,Road,Atlanta,6/21/2019,0,76,86,13,12,23,28,,,200,30,72,8,25,8,11,5,28,33,19,16,8,10,5,76,81.84,81.84,92.864125122,108.094519859,1,WNBA 2019 Regular Season
84,Home,Seattle,6/21/2019,1,62,84,22,24,18,20,,,200,30,70,14,26,10,13,12,27,39,18,13,9,13,4,84,76.72,76.72,109.489051095,82.359192349,3+,WNBA 2019 Regular Season
62,Road,Los Angeles,6/21/2019,0,62,84,17,17,10,18,,,200,23,61,6,21,10,12,5,24,29,13,15,4,14,4,62,75.28,75.28,82.359192349,109.489051095,2,WNBA 2019 Regular Season
86,Home,Las Vegas,6/22/2019,1,68,86,22,27,22,15,,,200,35,66,7,17,9,10,4,32,36,31,14,8,13,7,86,79.4,79.4,108.312342569,84.158415842,1,WNBA 2019 Regular Season
68,Road,Dallas,6/22/2019,0,68,86,24,10,18,16,,,200,22,77,6,31,18,20,16,25,41,13,8,9,11,4,68,80.8,80.8,84.158415842,108.312342569,1,WNBA 2019 Regular Season
92,Home,Minnesota,6/22/2019,1,83,92,24,18,28,22,,,200,33,64,5,15,21,30,11,24,35,19,13,9,19,5,92,85.2,85.2,107.981220657,99.90370727,3+,WNBA 2019 Regular Season
83,Road,New York,6/22/2019,0,83,92,25,18,14,26,,,200,34,74,10,25,5,7,10,16,26,20,22,11,16,4,83,83.08,83.08,99.90370727,107.981220657,2,WNBA 2019 Regular Season
73,Home,Atlanta,6/23/2019,0,89,73,27,18,7,21,,,200,27,69,9,21,10,15,14,23,37,17,17,2,12,3,73,73.6,73.6,99.184782609,113.69443025,1,WNBA 2019 Regular Season
89,Road,Washington,6/23/2019,1,89,73,25,17,28,19,,,200,34,74,10,29,11,12,9,26,35,21,14,7,8,7,89,78.28,78.28,113.69443025,99.184782609,2,WNBA 2019 Regular Season
93,Home,Chicago,6/23/2019,1,75,93,27,29,16,21,,,200,38,72,8,22,9,10,5,35,40,22,21,10,14,4,93,85.4,85.4,108.899297424,84.043030031,1,WNBA 2019 Regular Season
75,Road,Connecticut,6/23/2019,0,75,93,27,8,18,22,,,200,29,72,5,17,12,21,7,26,33,20,16,9,15,3,75,89.24,89.24,84.043030031,108.899297424,1,WNBA 2019 Regular Season
82,Home,Phoenix,6/23/2019,1,72,82,25,19,16,22,,,200,29,64,10,25,14,19,6,29,35,19,17,6,11,4,82,77.36,77.36,105.997931748,94.537815126,2,WNBA 2019 Regular Season
72,Road,Los Angeles,6/23/2019,0,72,82,26,16,14,16,,,200,26,70,8,23,12,14,10,29,39,19,24,2,10,2,72,76.16,76.16,94.537815126,105.997931748,1,WNBA 2019 Regular Season
65,Home,Seattle,6/23/2019,1,61,65,16,16,16,17,,,200,24,62,5,23,12,13,6,21,27,13,19,9,12,1,65,73.72,73.72,88.171459577,75.682382134,1,WNBA 2019 Regular Season
61,Road,Indiana,6/23/2019,0,61,65,12,23,14,12,,,200,22,64,4,15,13,15,9,26,35,8,17,8,19,3,61,80.6,80.6,75.682382134,88.171459577,1,WNBA 2019 Regular Season
74,Home,Indiana,6/25/2019,0,78,74,12,11,29,22,,,200,29,75,5,18,11,13,11,23,34,13,18,11,17,5,74,86.72,86.72,85.332103321,97.06321553,1,WNBA 2019 Regular Season
78,Road,Minnesota,6/25/2019,1,78,74,23,20,17,18,,,200,28,60,5,15,17,19,5,28,33,18,15,9,17,3,78,80.36,80.36,97.06321553,85.332103321,2,WNBA 2019 Regular Season
60,Home,Las Vegas,6/25/2019,1,56,60,15,21,11,13,,,200,22,70,3,17,13,18,5,36,41,17,12,10,17,8,60,89.92,89.92,66.725978648,65.573770492,2,WNBA 2019 Regular Season
56,Road,Seattle,6/25/2019,0,56,60,9,23,11,13,,,200,22,73,7,30,5,10,8,32,40,15,16,13,16,7,56,85.4,85.4,65.573770492,66.725978648,1,WNBA 2019 Regular Season
74,Home,Chicago,6/26/2019,0,81,74,23,22,11,18,,,200,29,69,5,22,11,11,7,27,34,18,13,4,17,8,74,83.84,83.84,88.263358779,93.88038943,2,WNBA 2019 Regular Season
81,Road,Washington,6/26/2019,1,81,74,26,24,16,15,,,200,35,78,2,15,9,12,7,25,32,17,13,11,10,3,81,86.28,86.28,93.88038943,88.263358779,2,WNBA 2019 Regular Season
74,Home,Dallas,6/26/2019,1,73,74,18,19,24,13,,,200,28,65,7,16,11,12,10,23,33,18,15,5,13,3,74,73.28,73.28,100.982532751,96.002104156,3+,WNBA 2019 Regular Season
73,Road,Connecticut,6/26/2019,0,73,74,16,18,17,22,,,200,29,63,5,17,10,16,5,19,24,20,15,7,11,8,73,76.04,76.04,96.002104156,100.982532751,2,WNBA 2019 Regular Season
86,Home,Los Angeles,6/27/2019,1,74,86,17,23,26,20,,,200,32,75,8,18,14,15,8,31,39,17,13,11,14,6,86,87.6,87.6,98.173515982,85.767269356,3+,WNBA 2019 Regular Season
74,Road,Las Vegas,6/27/2019,0,74,86,18,16,19,21,,,200,30,72,5,17,9,12,10,32,42,19,11,11,19,6,74,86.28,86.28,85.767269356,98.173515982,1,WNBA 2019 Regular Season
69,Home,New York,6/28/2019,1,68,69,18,20,14,17,,,200,27,70,4,15,11,18,11,27,38,18,13,5,8,2,69,74.92,74.92,92.098238121,90.763481046,3+,WNBA 2019 Regular Season
68,Road,Dallas,6/28/2019,0,68,69,15,18,22,13,,,200,22,67,8,26,16,18,11,30,41,17,17,5,11,2,68,74.92,74.92,90.763481046,92.098238121,1,WNBA 2019 Regular Season
91,Home,Phoenix,6/28/2019,1,69,91,17,33,21,20,,,200,33,63,10,17,15,20,7,26,33,23,13,4,12,4,91,76.8,76.8,118.489583333,90.078328982,3+,WNBA 2019 Regular Season
69,Road,Indiana,6/28/2019,0,69,91,20,18,19,12,,,200,28,69,2,18,11,15,10,22,32,9,19,4,11,2,69,76.6,76.6,90.078328982,118.489583333,2,WNBA 2019 Regular Season
79,Home,Seattle,6/28/2019,1,76,79,33,18,15,13,,,200,27,74,5,17,20,24,15,19,34,10,16,9,8,1,79,77.56,77.56,101.856627127,98.496630378,2,WNBA 2019 Regular Season
